field_1,field_2,field_3,field_4,field_5,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median
49,764932.192,6310028.313,22.418,21,232,20298.4956896552,19467.5,232,106.905172413793,109,232,18021.7543103448,17746,232,14992.7068965517,14398.5,232,14344.5043103448,14354
50,764928.032,6310029.822,22.408,20,233,23197.643776824,22971,233,99.2360515021459,99,233,18260.5450643777,18446,233,18295.2660944206,17943,233,12915.9055793991,12970
51,764925.879,6310031.632,22.392,17,234,21142.7435897436,20264,234,98.1111111111111,101,234,17837.8034188034,17628,234,16851.452991453,16130,234,13143.6581196581,13165
52,764918.152,6310036.145,22.381,19,234,18693.6111111111,18440,234,119.111111111111,118,234,18596.5170940171,18322,234,12904.5,12799.5,234,15276.1282051282,15332.5
53,764918.573,6310037.928,22.372,21,232,18553.1379310345,17767,232,110.991379310345,113,232,17470.1034482759,17261.5,232,13562.1422413793,12769,232,14088.1767241379,14394.5
54,764916.844,6310039.85,22.403,18,232,22029.5215517241,21310.5,232,84.073275862069,86,232,16582.6120689655,16434.5,232,18060.1767241379,17351.5,232,11617.8362068966,11620.5
55,764915.881,6310036.028,22.376,26,232,16111.9655172414,14709.5,232,146.896551724138,147.5,232,18963.7543103448,18637,232,10176.8577586207,9213,232,17876.5172413793,17578
57,764911.479,6310040.057,22.431,18,234,20774.0341880342,20053,234,97.8803418803419,99.5,234,17400.3461538462,17168.5,234,16177.6837606838,15418.5,234,13401.2478632479,13542
58,764907.996,6310043.557,22.428,11,233,20232.69527897,19587,233,101.459227467811,100,233,16918.7811158798,16802,233,16483.3090128755,16572,233,12869.4849785408,12572
59,764906.476,6310046.014,22.465,13,232,19828.9612068966,18941,232,96.9224137931034,98,232,16761.1120689655,16511,232,16253.1724137931,15478,232,12858.5474137931,12775
60,764903.749,6310047.481,22.42,18,234,19625.9188034188,19464.5,234,102.294871794872,103,234,17385.7905982906,17306,234,15264.1452991453,15196.5,234,13798.9145299145,13705
61,764899.438,6310049.761,22.436,18,236,25321.4830508475,25171,236,82.5254237288136,83,236,19246.4152542373,19279,236,22198.2584745763,22434.5,236,12357.7711864407,12365.5
62,764896.299,6310052.181,22.422,17,233,20331.1630901288,19739,233,117.37339055794,120,233,19584.9399141631,19168,233,15573.330472103,15030,233,15244.9957081545,15323
63,764892.322,6310055.437,22.431,14,238,20732,20222,238,99.1638655462185,99,238,17860.7731092437,17589.5,238,16980.7100840336,16801,238,13036.2857142857,12966
64,764886.263,6310060.44,22.418,18,234,19360.0512820513,18528.5,234,93.1837606837607,92.5,234,16504.6324786325,16621.5,234,15215.6196581197,15077.5,234,13054.9316239316,12298.5
65,764882.811,6310062.334,22.423,16.5,235,16427.5914893617,15608,235,141.421276595745,142,235,18399.8808510638,18292,235,10590.4468085106,9970,235,17518.2510638298,17350
66,764883.792,6310062.643,22.464,14,234,18794.1623931624,17501.5,234,113.410256410256,116,234,16436.0384615385,16234,234,14090.9017094017,12889.5,234,13307.0897435897,13238.5
67,764879.044,6310065.622,22.44,15,232,23728.9698275862,24095,232,96.5431034482759,97.5,232,18162.1077586207,18237,232,18420.3318965517,18732.5,232,12884.7844827586,12733
68,764874.574,6310068.218,22.46,13,232,19602.4827586207,18093.5,232,109.870689655172,111,232,17160.1077586207,17088.5,232,15076.025862069,14504,232,14523.6896551724,14144
69,764871.818,6310070.413,22.462,14,234,21338.3376068376,20975,234,110.777777777778,114,234,17592.2606837607,17565,234,16331.5982905983,15798.5,234,14005.2008547009,14008.5
70,764867.877,6310072.673,22.458,15,236,20158.1313559322,19463.5,236,114.868644067797,112.5,236,18045.063559322,17715.5,236,14849.5338983051,14458.5,236,14645.0211864407,14069
71,764864.612,6310075.75,22.512,9,233,18724.1373390558,18171,233,108.957081545064,109,233,16399.1373390558,16319,233,14360.5536480687,13914,233,13951.2017167382,13864
72,764863.98,6310077.519,22.474,11,233,15112.321888412,14069,233,124.969957081545,125,233,16107.7296137339,15781,233,10229.3004291846,9274,233,15832.2618025751,15785
73,764864.652,6310076.988,22.517,9,234,14967.4358974359,13909.5,234,114.820512820513,116,234,15359.9700854701,15399,234,10623.1794871795,9743,234,14732.5726495727,14846
74,764857.75,6310081.79,22.476,14,234,21112.0726495726,20986.5,234,82.9102564102564,84,234,16326.4230769231,16441.5,234,17198.0683760684,17003.5,234,11752.0982905983,11713
75,764856.202,6310083.032,22.467,13,234,20285.0085470085,19638,234,98.2008547008547,99,234,16245.1965811966,15812,234,16283.2521367521,15646,234,12547.9700854701,12495.5
76,764854.479,6310082.833,22.473,13,231,17268.5324675325,16560,231,106.380952380952,107,231,15523.5367965368,15285,231,13476.1904761905,12893,231,13375.9134199134,13153
77,764852.09,6310085.215,22.484,10,233,15401.9699570815,14757,233,125.111587982833,127,233,16283.347639485,16188,233,10753.8111587983,10151,233,16362.2188841202,16424
78,764851.813,6310086.423,22.506,8,233,15743.6652360515,14862,233,137.364806866953,138,233,16934.9356223176,16969,233,10552.5751072961,9857,233,17446.7210300429,17708
79,764851.391,6310087.669,22.567,4,233,18111.6909871245,16203,233,123.772532188841,128,233,16645.0386266094,16605,233,13580.2489270386,11768,233,15647,15524
80,764849.758,6310088.134,22.49,9,232,18324.3232758621,17575.5,232,111.051724137931,114,232,15653.4353448276,15494,232,14471.0603448276,13353,232,13346.4267241379,13613
81,764845.076,6310089.15,22.503,10,233,15972.347639485,15320,233,111.648068669528,114,233,15202.5021459227,14968,233,11612.9570815451,10968,233,13971.0300429185,14052
82,764842.976,6310090.465,22.464,13,233,15281.7682403433,14285,233,112.987124463519,115,233,15123.0600858369,14677,233,10861.2575107296,10125,233,14019.7811158798,13866
83,764839.112,6310091.347,22.461,10,233,17697.1630901288,16851,233,99.7854077253219,102,233,15416.1158798283,15161,233,13648.1759656652,12965,233,13003.7896995708,13130
84,764833.637,6310087.559,22.536,11,231,18877.7359307359,18362,231,105.290043290043,106,231,16121.8744588745,15912,231,14008.8225108225,13967,231,13633.9047619048,13712
85,764827.218,6310086.913,22.484,11,233,18075.4763948498,17489,233,98.0815450643777,99,233,15068.991416309,14845,233,13809.7596566524,13050,233,12804.4549356223,12833
