field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,R_count,R_mean,R_median,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median
1141,749977.332,6297677.884,25.558,2,236,22165.6694915254,22012.5,236,23306.0720338983,23171.5,236,18421.6610169492,17828.5,236,23337,22578.5,236,146.050847457627,152.5
1142,750002.761,6297672.886,25.435,5,234,12163.0897435897,11713,234,8305.87606837607,7966.5,234,12800.9914529915,12359,234,14850.5769230769,14403.5,234,51.8333333333333,48
1143,750005.893,6297677.447,25.463,5,234,17052.3931623932,16940,234,9552.34615384615,9552,234,22603.7393162393,22819.5,234,24313.7863247863,24375.5,234,37.9273504273504,35
1144,750009.152,6297684.911,25.404,6,235,14623.4765957447,13913,235,14738.2,14560,235,9557.85531914894,8862,235,13049.8723404255,11726,235,106.778723404255,107
1145,750012.322,6297689.586,25.467,3,232,13148.0344827586,12673,232,9488.59051724138,9291,232,14810.5474137931,14194,232,16891.6896551724,16085.5,232,58.2801724137931,52.5
1146,750015.844,6297695.25,25.447,4,233,13587.8927038627,13373,233,8490.94849785408,8320,233,17979.8283261803,18216,233,19133.4763948498,19315,233,48.1716738197425,44
1147,750012.598,6297698.821,25.522,1,234,13018.6965811966,12611,234,9089.07264957265,9057.5,234,14244.2136752137,13508.5,234,15986.6752136752,15079.5,234,60.1495726495726,58
1148,750011.572,6297699.129,25.483,1,236,16355.7754237288,15862.5,236,12245.156779661,12809.5,236,14831.1610169492,13725,236,18635.9618644068,17004,236,89.0847457627119,92
1149,750011.995,6297700.997,25.485,1,232,16464.900862069,16054.5,232,13967.5689655172,13899.5,232,12576.9870689655,12199,232,16735.3577586207,15684.5,232,108.280172413793,108
1150,750021.144,6297700.635,25.515,5,233,13836.1459227468,13167,233,10440.974248927,10220,233,11630.5965665236,10175,233,14407.5321888412,12675,233,82.0729613733906,83
1151,750024.019,6297704.812,25.449,7.5,233,15460.7381974249,15022,233,9536.63948497854,8950,233,17394.7811158798,16366,233,19447.1158798283,18059,233,55.6437768240343,57
1152,750025.434,6297709.375,25.505,5,233,16326.5708154506,16399,233,9317.05579399142,9264,233,21271.8369098712,21267,233,22948.364806867,23202,233,48.9613733905579,47
1153,750027.195,6297714.114,25.519,6,232,16001.8836206897,15750,232,9064.14655172414,8983,232,20612.7198275862,20336.5,232,22216.525862069,21565.5,232,52.4913793103448,51
1154,750033.605,6297718.657,25.517,6,235,14923.6127659574,14645,235,8068.45106382979,7925,235,20654.2212765957,20239,235,21174.085106383,20842,235,40.9021276595745,36
1155,750044.966,6297721.803,25.561,5,233,13392.4849785408,13636,233,12297.4120171674,12479,233,7808.66094420601,7691,233,10661.6180257511,10710,233,111.231759656652,115
1156,750050.553,6297725.501,25.515,5,234,17532.5769230769,17796,234,9180.82051282051,9306,234,21691.9615384615,21470.5,234,25182.7264957265,25493.5,234,48.3547008547009,47
1157,750059.088,6297727.118,25.519,7,234,14660.3846153846,14956.5,234,8823.99145299145,8826.5,234,16384.8376068376,16399.5,234,18769.2735042735,19220,234,53.3034188034188,54
1158,750067.057,6297726.259,25.563,5,234,13815.3162393162,13698.5,234,13149.0555555556,13199.5,234,7127.3547008547,6897,234,10498.1923076923,10284,234,102.645299145299,103
1159,750071.87,6297717.508,25.517,6,236,15766.5720338983,15111,236,9839.63983050847,9705,236,18463.1271186441,16295.5,236,20291.1525423729,17851.5,236,66.9406779661017,67.5
1160,750078.428,6297714.473,25.495,7,232,16011.8448275862,15575,232,10524.8232758621,10213,232,16341.1551724138,15600,232,19884.6336206897,18689.5,232,83.1077586206897,81
1161,750093.796,6297711.7,25.523,5,234,15428.9273504273,15281,234,9139.21367521368,9022.5,234,20550.0854700855,20285,234,22530.4957264957,22086,234,54.1581196581197,52
1162,750100.78,6297703.977,25.557,-1,234,14384.7905982906,14040.5,234,9891.2735042735,9533,234,16775.0982905983,16399,234,18919.2564102564,17958,234,60.3119658119658,57
1163,750102.519,6297704.542,25.552,-1,234,17306.5170940171,17158,234,12492.1623931624,11878.5,234,20583.1282051282,20101,234,23078.5726495726,22338.5,234,80.5897435897436,74.5
1164,750104.075,6297703.47,25.542,-1,233,15337.8412017167,14942,233,9023.58798283262,8888,233,20906.364806867,20350,233,22289.5150214592,21523,233,42.7768240343348,42
1165,750104.988,6297705.104,25.545,-1,236,21687.5254237288,21418,236,17417.2415254237,16576.5,236,21749.4279661017,21079.5,236,25243.436440678,24276,236,135.372881355932,134
1166,750106.67,6297705.261,25.551,-1,235,20186.9829787234,19983,235,16078.6638297872,15684,235,21218.0255319149,20986,235,24111.2212765957,23583,235,126.612765957447,129
1167,750106.649,6297705.29,25.552,-1,234,20096.5128205128,19961.5,234,16205.5128205128,15900,234,20956.547008547,20206.5,234,23798.4658119658,23214.5,234,129.846153846154,133
1168,750107.031,6297703.664,25.555,-1,237,14779.9029535865,14497,237,8881.9029535865,8886,237,20850.2405063291,20327,237,21678,20888,237,49.2995780590717,47
1169,750108.706,6297703.069,25.546,-1,235,15824.6382978723,15647,235,9430.13617021277,9282,235,23979.2936170213,24193,235,24829.8212765957,24637,235,53.5787234042553,50
1170,750108.797,6297704.939,25.536,-1,236,23688.3771186441,22941.5,236,19993.1949152542,18569.5,236,23704.7627118644,23352,236,27386.313559322,27036.5,236,136.936440677966,139.5
1171,750110.33,6297704.484,25.553,-1,233,20584.2403433476,20072,233,16874.7553648069,15435,233,21779.0214592275,21317,233,24455.2703862661,23482,233,123.25321888412,118
