field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1134,749988.307,6297672.374,25.576,1,12,65.0833333333333,58,17.5283500522883,48,105,12,11354.75,10426,2467.8637227705,8852,17875,12,11767.3333333333,10981,2774.31433971631,8695,17430,12,10837.75,10236,1689.65736788064,8651,14868,12,10507.75,10018.5,1512.5032851204,8570,14009
1135,749987.112,6297673.602,25.568,1,9,60.7777777777778,62,5.84575397242929,51,68,9,7823.77777777778,7769,502.267918275093,7125,8807,9,7200.22222222222,7148,368.782916505324,6611,7892,9,7033.33333333333,6966,437.82137402776,6344,7673,9,6505,6416,309.837233254996,6051,7039
1136,749986.031,6297674.02,25.571,1,9,33,34,4.71404520791032,23,40,9,6555.66666666667,6621,184.895165491752,6146,6777,9,5662.66666666667,5648,198.88801986154,5276,6025,9,6562.22222222222,6591,324.407760483205,6035,7266,9,6862.33333333333,6740,266.982313188637,6498,7321
1137,749984.369,6297674.277,25.577,1,10,144.4,142,24.0507796131435,106,186,10,28477.2,27708.5,3178.26329305802,22098,33560,10,28846.2,30004,3450.84223922219,21720,32295,10,27921.5,27602,3474.98958991246,23436,32822,10,21471.3,21002.5,2178.58064115148,18645,24840
1138,749982.855,6297674.96,25.569,1,9,169.888888888889,169,10.3112068961068,152,184,9,24248.1111111111,24331,1399.99463843771,22502,27238,9,28786.8888888889,27405,2635.21854225263,26112,33850,9,24375.6666666667,23205,3237.59698267438,20541,31113,9,18816.2222222222,17987,2070.34306216669,16574,23407
1139,749981.409,6297676.115,25.569,1,8,101.5,106.5,20.8446635856758,63,128,8,19340.125,18233.5,2836.97261343408,15519,23569,8,17114,17726.5,2699.7594800278,12565,20719,8,19876.25,19795.5,2433.32173941302,16179,24113,8,15199.875,15180,1436.1441812628,13085,17459
1140,749979.411,6297677.169,25.575,1,8,84,86,18.6815416922694,48,106,8,14813.125,14079,2236.25850683122,12115,19331,8,16676.75,16709.5,2642.47865412381,12798,20907,8,16890.75,15762,3642.06712424414,12886,23537,8,14063.375,13912.5,1803.2661296589,11986,17453
1141,749977.332,6297677.884,25.558,2,8,158.25,168,24.5700529099959,119,185,8,23366.75,23802.5,1682.5220466609,20856,25405,8,21991.25,22773.5,1907.96093710013,18410,24461,8,27484.875,27255.5,4253.13412195936,21103,35644,8,21441.375,21339.5,2383.74610316934,18375,25622
1142,750002.761,6297672.886,25.435,5,10,56.9,50.5,34.8323125847251,12,129,10,15169.4,14697.5,2816.66459487103,11021,19943,10,9348.8,9015,1242.74090622301,7554,11361,10,19822.3,18973,3137.58480522838,14628,24513,10,16152.5,16721,2033.97159518023,12345,18972
1143,750005.893,6297677.447,25.463,5,8,41.625,48,17.6630794314015,13,65,8,18683.5,19012,1991.12217103823,15785,21265,8,9813.875,9856.5,678.568058027343,8676,10779,8,27956.375,28348.5,1676.49082442315,25775,30339,8,25263.25,25117,978.613400429403,23972,26423
1144,750009.152,6297684.911,25.404,6,10,107.2,105.5,13.7244307714382,83,134,10,13813.2,13575,997.244984946026,12851,16385,10,14150.9,13825.5,1019.13516767895,13015,16452,10,11944.9,11426.5,1498.87260632784,10531,15265,10,9053.3,8994.5,982.374679030359,7770,10861
1145,750012.322,6297689.586,25.467,3,10,44,38.5,17.469974241538,21,78,10,10233.9,9477.5,1658.81671380536,8683,13133,10,8214,8004,739.1811685913,7255,9366,10,13103.9,11385.5,3133.75903508869,10234,18556,10,12399.4,11348,1900.68825429106,10770,15761
1146,750015.844,6297695.25,25.447,4,10,39.4,38,11.2,23,56,10,11501,11036,1259.79633274589,9960,13656,10,7760.1,7774,456.39510295357,7047,8433,10,15021.3,13573,2788.62177607506,12042,20948,10,14879.5,13930.5,1967.59875228665,12909,19245
