field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,G_count,G_mean,G_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
34,750226.982,6297017.808,25.766,"9",9,86.4444444444444,84,9,22543.4444444444,22368,9,12927.8888888889,13076,9,36396,37588,9,30413.6666666667,31178
35,750223.085,6297017.895,25.808,"9.5",9,48.5555555555556,48,9,8461.66666666667,8505,9,6593.44444444444,6513,9,9021.22222222222,8916,9,9732.77777777778,9563
36,750219.464,6297018.64,25.916,"8",9,91.8888888888889,106,9,25007.2222222222,24165,9,15320.3333333333,15419,9,38608.5555555556,38879,9,30074,30093
37,750215.63,6297018.138,25.98,"9",9,73,67,9,13088.4444444444,13003,9,9403.88888888889,9416,9,15715.7777777778,14923,9,15268.5555555556,15320
38,750210.988,6297018.593,26.08,"6",9,45.6666666666667,45,9,14555.4444444444,14270,9,9022.66666666667,9172,9,25509.5555555556,24785,9,25302.5555555556,25148
39,750206.3,6297018.393,26.231,"3.5",9,46.8888888888889,41,9,22385,22783,9,11627.2222222222,11523,9,35217.3333333333,35532,9,36582.1111111111,34977
40,750204.454,6297017.594,26.277,"0",9,44.7777777777778,41,9,14045.5555555556,14645,9,8807,8578,9,18609,17748,9,17145.1111111111,16409
41,750203.623,6297020.742,26.299,"0",12,62.5833333333333,68,12,16288.5,16210,12,10236.1666666667,9480.5,12,22294,23350,12,21707.3333333333,22325.5
42,750203.716,6297020.738,26.321,"0",10,71.3,78,10,17355.8,16731,10,11111.6,11214,10,27173.4,27736.5,10,27892.8,27144
43,750202.961,6297023.76,26.28,"0",10,40.3,38.5,10,21176.3,22044,10,13093.7,13083.5,10,41330.5,42027.5,10,37617.4,38767.5
44,750201.488,6297024.432,26.327,"-1",10,95.5,96.5,10,13646.4,13223,10,10886.4,10890,10,13921.7,12849,10,12578.5,12302
45,750200.687,6297027.036,26.32,"-1",9,109.333333333333,109,9,14116,14074,9,11314.8888888889,11436,9,14008,14469,9,10301.5555555556,10188
46,750199.877,6297029.343,26.326,"-1",8,100.5,101.5,8,13561,13533.5,8,11027,10646.5,8,14459.75,14308.5,8,10886.625,10919
47,750198.948,6297031.877,26.307,"-1",9,97.5555555555556,100,9,11932.5555555556,11943,9,10275.6666666667,10381,9,11616.4444444444,10908,9,9203,9124
48,750198.039,6297035.046,26.274,"0",12,96.3333333333333,93.5,12,21862.75,21814,12,15481.3333333333,14937.5,12,35700.4166666667,34224,12,27453.9166666667,27969.5
49,750200.362,6297033.136,26.249,"0",10,49.8,40.5,10,23050.4,21338.5,10,15812.1,16876.5,10,42737.6,41995,10,31810.8,31597.5
50,750201.314,6297029.775,26.281,"0",10,89.8,89,10,19737.4,18266.5,10,11706.8,10991,10,32148.8,28130.5,10,37533.1,37378.5
51,750202.91,6297027.685,26.195,"4",8,51.75,43,8,17579.25,17313.5,8,10992.5,10723,8,29516,30113.5,8,23086.125,22556
52,750197.245,6297034.287,26.187,"1",9,79.8888888888889,68,9,16786.8888888889,14399,9,11040.8888888889,9563,9,23604.5555555556,19030,9,26568,28151
53,750197.128,6297036.57,26.3,"0",9,59.8888888888889,55,9,9805.11111111111,9569,9,7711.77777777778,7799,9,11743.8888888889,12007,9,12889,12240
54,750199.072,6297037.078,26.225,"1",9,62.5555555555556,52,9,21931.7777777778,19201,9,13549.5555555556,13144,9,32709.6666666667,29004,9,27102.1111111111,26150
55,750196.734,6297026.349,26.385,"0",9,52,53,9,12828.5555555556,12697,9,7459.88888888889,7443,9,15710.7777777778,15951,9,11651.6666666667,11953
56,750195.972,6297027.55,26.401,"0",9,46.1111111111111,43,9,11104.7777777778,11572,9,6756.22222222222,6816,9,13394.4444444444,13187,9,10832.3333333333,10831
57,750194.95,6297030.238,26.383,"0",9,42.3333333333333,41,9,8378.77777777778,8166,9,7247.22222222222,7291,9,10079.2222222222,10179,9,10211.8888888889,10133
58,750194.055,6297032.802,26.402,"0",9,49.4444444444444,49,9,12376.2222222222,12005,9,7844.55555555556,7472,9,16570.8888888889,16426,9,12989.6666666667,13124
59,750196.149,6297024.901,26.426,"-1",9,39.6666666666667,38,9,11337.3333333333,11916,9,6515.11111111111,6425,9,11706.6666666667,11661,9,9439.11111111111,9493
60,750197.491,6297020.99,26.427,"-1",10,51.4,51.5,10,10989.8,10921.5,10,7222.3,7287.5,10,11619,11649,10,9377,9408
61,750198.617,6297018.243,26.403,"0",9,39.7777777777778,38,9,12089.7777777778,12003,9,6762.77777777778,6928,9,15638.3333333333,15756,9,12927.2222222222,12835
62,750192.582,6297022.865,26.431,"8",9,45.5555555555556,48,9,12253.3333333333,12547,9,6494.22222222222,6436,9,15482.4444444444,15379,9,11681.6666666667,11628
63,750189.306,6297022.96,26.544,"7",9,87.6666666666667,88,9,9829.88888888889,9727,9,8237.66666666667,8261,9,7501.22222222222,7476,9,6034.66666666667,6036
64,750207.351,6297028.869,26.172,"0",9,60,48,9,18887.3333333333,20018,9,12349.8888888889,12612,9,34735.2222222222,36111,9,33051.5555555556,32608
65,750212.505,6297028.727,25.945,"12",9,45.5555555555556,43,9,14597,14011,9,10155.2222222222,11135,9,18840,18145,9,16022.6666666667,16111
66,750216.597,6297028.618,25.901,"7",12,44,45.5,12,17283.6666666667,16826,12,11558.8333333333,11386,12,25498.5,24598,12,22303,22472
67,750220.88,6297027.648,25.785,"10",10,47.5,41,10,13320.8,13099,10,8394.6,8035,10,18529.8,17698.5,10,15480.2,15071
68,750224.67,6297026.837,25.737,"9",9,92.1111111111111,98,9,23923,24189,9,13643.2222222222,13727,9,38960.3333333333,38268,9,31059.7777777778,29130
69,750228.852,6297027.619,25.659,"3",9,61.2222222222222,57,9,14950,14832,9,8332,8509,9,21122.8888888889,20936,9,19188.4444444444,19690
70,750231.754,6297028.343,25.633,"10",9,57.4444444444444,64,9,21317.5555555556,21044,9,11331.2222222222,11810,9,43065.6666666667,43653,9,43576.1111111111,43120
71,750234.92,6297028.459,25.547,"12",9,72,73,9,8246.77777777778,8300,9,6688.66666666667,6819,9,7669.88888888889,7707,9,7558.33333333333,7626
72,750238.669,6297028.028,25.538,"8",9,66.4444444444444,60,9,17278.2222222222,17505,9,8124.55555555556,8084,9,30289,30005,9,26216.3333333333,27377
73,750238.62,6297028.083,25.537,"8",9,47.4444444444444,51,9,14151.8888888889,13675,9,7654.77777777778,7531,9,22140.2222222222,22344,9,19228.4444444444,18781
74,750242.176,6297030.666,25.46,"9",9,59.3333333333333,61,9,9365.11111111111,9239,9,6138.22222222222,6157,9,10774.1111111111,10868,9,10490.2222222222,10528
75,750245.813,6297035.787,25.402,"7",9,79.5555555555556,80,9,8654.22222222222,8540,9,6513.44444444444,6458,9,6963.22222222222,6947,9,5819.88888888889,5852
76,750245.188,6297038.236,25.373,"9",11,64.6363636363636,66,11,9604.63636363636,8965,11,7149,7012,11,11701.5454545455,10750,11,11487.1818181818,11324
77,750239.196,6297038.961,25.413,"14",9,104.444444444444,105,9,30134.1111111111,31238,9,18166,17607,9,47293,46352,9,36816.2222222222,34222
78,750237.649,6297040.151,25.386,"14",9,95.8888888888889,95,9,9478.55555555555,9369,9,8814.44444444445,8746,9,7356,7312,9,5507.88888888889,5440
79,750234.038,6297040.14,25.428,"15",10,103.5,104.5,10,10941.8,10971.5,10,10413,10452,10,8275.2,8228,10,6336.4,6402
80,750230.719,6297039.23,25.521,"15",9,91.7777777777778,90,9,15132.3333333333,13475,9,10688.4444444444,10345,9,18872.5555555556,16961,9,14738.5555555556,12494
81,750227.016,6297039.747,25.6,"15",9,77,79,9,24942.4444444444,23721,9,15214.6666666667,14624,9,41930.5555555556,39996,9,36652.8888888889,35381
82,750223.565,6297039.105,25.7,"10",9,76.5555555555556,78,9,9239.88888888889,9311,9,7949.66666666667,7821,9,7772.33333333333,7606,9,6397.88888888889,6318
83,750220.036,6297039.537,25.786,"6",9,48.1111111111111,42,9,20696.3333333333,20517,9,13447.8888888889,13427,9,34852.6666666667,36727,9,28689.7777777778,28071
84,750216.413,6297039.707,25.822,"6",9,39.5555555555556,39,9,15349.4444444444,15530,9,9347,9384,9,21298.1111111111,21504,9,18112.1111111111,18130
85,750211.725,6297041.55,25.884,"8",9,51.4444444444444,50,9,11948.7777777778,11718,9,7549.44444444444,7540,9,16330,16159,9,14428.6666666667,14378
