field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,R_count,R_mean,R_median,G_count,G_mean,G_median
192,764906.809,6310008.871,22.432,7,9,9950.88888888889,9948,9,13407.7777777778,13401,9,122.444444444444,122,9,15152.4444444444,15225,9,14337.2222222222,14324
193,764903.656,6310011.483,22.449,9,9,10363,10130,9,14106.4444444444,13536,9,124.222222222222,125,9,15287.1111111111,15515,9,14638.6666666667,14562
194,764899.45,6310009.068,22.437,8,8,18089.375,18153,8,19972.5,20779,8,73.75,68.5,8,10962.5,10941,8,14774.375,15164
195,764895.183,6310004.696,22.424,9,9,13073.4444444444,12728,9,14965.2222222222,14823,9,112.555555555556,113,9,12874.5555555556,12792,9,13683.6666666667,13648
196,764891.525,6310001.954,22.411,11,9,13018.4444444444,12835,9,17716.7777777778,17684,9,120.333333333333,118,9,14369.4444444444,14477,9,16698.3333333333,16566
197,764886.853,6309999.849,22.429,10,12,11535.25,11379,12,16078.5833333333,16309,12,119.333333333333,121,12,14894.0833333333,15091.5,12,15423,15283.5
198,764881.426,6309998.231,22.437,9,9,18466.7777777778,18368,9,21290.4444444444,21450,9,76.4444444444444,71,9,11000.7777777778,11014,9,15550,15488
199,764877.721,6309995.134,22.389,17,9,10088.1111111111,10252,9,14619.1111111111,14723,9,119.555555555556,118,9,15380.2222222222,15314,9,15861.4444444444,15890
200,764871.028,6309991.529,22.46,6,12,19799,19020.5,12,21909.4166666667,21160,12,95.25,99,12,11237.0833333333,11167,12,15608.0833333333,15123
201,764863.107,6309987.407,22.454,10,8,11065.5,10575.5,8,14335.25,14161,8,94,93,8,14185.25,14224.5,8,14570.125,14635.5
202,764855.374,6309985.073,22.415,10,9,11216.4444444444,10952,9,13065.8888888889,13014,9,93.2222222222222,99,9,13546.6666666667,13459,9,13795.2222222222,13761
203,764852.301,6309983.4,22.385,10,9,15310.1111111111,15658,9,19067.3333333333,18423,9,109.111111111111,109,9,13149.1111111111,13182,9,16246,16353
204,764847.783,6309982.352,22.42,10,10,13657.3,13003,10,18279.8,18644,10,111.1,111,10,13959.2,13990.5,10,16120.1,16135.5
205,764844.61,6309979.511,22.428,8,9,19335.8888888889,19207,9,21444.1111111111,20787,9,79.4444444444444,91,9,11928.5555555556,11830,9,15810.8888888889,15765
206,764838.738,6309978.054,22.443,9,9,16246.6666666667,16062,9,20077.7777777778,19462,9,77.6666666666667,75,9,12272.4444444444,12321,9,15245.7777777778,14815
207,764836.694,6309977.207,22.408,10,9,14302.4444444444,15023,9,20003,21172,9,100.444444444444,101,9,13762.5555555556,13828,9,17089.8888888889,17342
208,764834.127,6309975.568,22.468,7,9,12334.7777777778,12003,9,17501.2222222222,17888,9,119.777777777778,120,9,15653.8888888889,16011,9,15985,15818
209,764830.509,6309974.757,22.45,8,9,12784.7777777778,12990,9,16528.7777777778,15949,9,92.8888888888889,91,9,13739.6666666667,13626,9,14487.2222222222,14203
210,764825.774,6309974.266,22.458,9,8,16512.625,16913,8,19324.5,18993.5,8,104.375,103.5,8,12226.75,12287.5,8,16091.75,16254
211,764820.594,6309974.524,22.469,6,9,17231.8888888889,17663,9,22141.1111111111,22758,9,115.333333333333,117,9,13513,13445,9,17293,17138
212,764819.749,6309974.46,22.55,0,9,15419.4444444444,15540,9,18257,18365,9,124.888888888889,126,9,15202.8888888889,15136,9,15684.1111111111,15464
213,764818.091,6309974.966,22.543,0,9,16868.6666666667,16788,9,20073.8888888889,20236,9,112.888888888889,113,9,13793.4444444444,13950,9,15686.4444444444,15679
214,764816.448,6309975.46,22.534,0,9,21250.2222222222,21722,9,22514.1111111111,22696,9,84.1111111111111,86,9,11210.2222222222,11171,9,15556.7777777778,15613
215,764813.92,6309973.777,22.438,5,9,18273.6666666667,18768,9,23100.3333333333,23074,9,116.888888888889,115,9,13153,13189,9,17358.4444444444,16998
216,764812.886,6309966.641,22.447,4,9,19008,18604,9,19589.7777777778,20268,9,99.1111111111111,98,9,9844.88888888889,9632,9,14786.6666666667,14540
217,764813.062,6309959.227,22.487,5,9,13486.7777777778,13620,9,16917.8888888889,16541,9,121.777777777778,119,9,13249.4444444444,13207,9,15166.4444444444,14999
218,764815.054,6309955.675,22.475,5,8,21914.875,21780,8,22516.75,22024,8,74.25,75,8,9721.5,9705,8,14589.625,14409
219,764822.252,6309951.32,22.525,6,8,17480.625,17162.5,8,21601.5,20763,8,99.125,101,8,13050.5,12981,8,16314.625,16246.5
220,764824.78,6309950.416,22.472,10,9,20267.3333333333,20244,9,23880.5555555556,23559,9,91.2222222222222,93,9,11206.5555555556,10935,9,16126.4444444444,16305
221,764835.7,6309949.109,22.426,9,9,10484,10110,9,14289,14066,9,123.777777777778,127,9,15107.8888888889,15164,9,15135.5555555556,15054
222,764839.34,6309949.631,22.451,7,10,11714,11369.5,10,14253.3,13853,10,110.7,113,10,13426.4,13521,10,13899.5,13747.5
223,764844.875,6309949.12,22.45,10,12,16586,16899,12,20741.5833333333,21106.5,12,100.833333333333,104.5,12,12824.1666666667,12997.5,12,16259.1666666667,16019
224,764849.595,6309949.202,22.455,9,9,16084.3333333333,16911,9,18219.4444444444,17676,9,83.2222222222222,79,9,11860.8888888889,12040,9,15011.1111111111,15347
225,764854.861,6309949.48,22.421,9,9,16450.1111111111,16846,9,20332.1111111111,20587,9,100.222222222222,103,9,11605.8888888889,11582,9,15983.2222222222,16371
226,764859.039,6309950.675,22.411,10,9,20334.8888888889,19923,9,24017.1111111111,23325,9,101.777777777778,102,9,11610.4444444444,11596,9,17382.2222222222,18448
227,764865.732,6309950.683,22.439,8,9,21872.8888888889,21789,9,27405,27123,9,102.666666666667,98,9,11712,11590,9,18063.7777777778,18066
228,764872.624,6309949.474,22.409,12,9,17635.8888888889,17123,9,22976.2222222222,23334,9,105.222222222222,102,9,12057.7777777778,12056,9,16936.4444444444,16200
229,764877.319,6309948.741,22.397,10,12,18749.8333333333,19121.5,12,24400.75,25286.5,12,104.416666666667,104,12,12657.1666666667,12764.5,12,18413.6666666667,18763.5
230,764884.564,6309948.935,22.426,6,9,15784.6666666667,15983,9,19226.4444444444,19352,9,93.7777777777778,99,9,11871.6666666667,11892,9,15374.1111111111,15575
231,764885.372,6309949.547,22.486,1,10,15803.7,15514.5,10,19923.8,19763.5,10,107.9,107,10,14001.9,14044.5,10,16160.8,16121
232,764886.527,6309949.852,22.421,5,9,18851.1111111111,17938,9,22397.3333333333,20688,9,88.4444444444444,88,9,11922.1111111111,11807,9,16539.5555555556,16761
233,764891.568,6309949.492,22.41,3,9,14358.3333333333,13977,9,18618.4444444444,18175,9,101.222222222222,100,9,13366.1111111111,13451,9,16182.3333333333,16673
234,764894.795,6309949.95,22.446,3,9,16171.6666666667,16883,9,21304.6666666667,21575,9,104.666666666667,106,9,13210.2222222222,13408,9,16942.6666666667,16951
235,764897.79,6309950.669,22.445,1,10,13739,13374,10,17375.3,16935.5,10,107.3,105.5,10,15779.6,15887,10,15737,15594.5
236,764898.163,6309951.563,22.466,1,9,16251.1111111111,15822,9,19283.7777777778,19139,9,95.1111111111111,92,9,13159.6666666667,12981,9,15650.7777777778,15276
237,764899.291,6309951.074,22.445,3,8,14195,13488,8,17312.25,16946.5,8,103.5,105,8,13445.625,13519,8,15278.75,15120
238,764902.135,6309950.628,22.443,1,12,16094.5833333333,16193.5,12,18183.25,18293,12,87.3333333333333,85.5,12,11593,11518.5,12,14159.4166666667,14202.5
239,764904.372,6309946.743,22.427,3,9,14277.4444444444,14229,9,18598.5555555556,18955,9,108.888888888889,109,9,13999.2222222222,13962,9,16205.8888888889,16215
240,764906.765,6309947.277,22.45,1,9,20074.3333333333,19387,9,22797.8888888889,22155,9,93.5555555555556,93,9,12987.3333333333,12676,9,17495.5555555556,17738
241,764906.718,6309945.652,22.461,1,10,17213.1,16825,10,19350.9,18700.5,10,103.5,105.5,10,14090.9,13801,10,17062.3,16159
242,764908.149,6309945.235,22.44,3.5,8,20367.25,20354.5,8,23898.5,23740.5,8,95.375,94,8,12047.875,11918,8,16532.875,16437
243,764913.175,6309946.95,22.41,5.5,9,15603,15511,9,20407.5555555556,20684,9,116.555555555556,116,9,14063,14072,9,16335.5555555556,16478
244,764919.715,6309949.134,22.391,8,9,13970.6666666667,13423,9,16421,15377,9,90.6666666666667,96,9,11533.6666666667,11687,9,13545.5555555556,13155
245,764925.888,6309949.144,22.423,5,9,13603.2222222222,13425,9,16590,16153,9,104.888888888889,105,9,14223.5555555556,14215,9,15283.2222222222,15189
246,764933.198,6309950.608,22.396,8,9,13970.4444444444,13871,9,16224.5555555556,16055,9,96.4444444444444,99,9,12237.3333333333,12479,9,14540,14511
247,764939.151,6309951.995,22.343,10,9,14531.8888888889,14545,9,18920.2222222222,20316,9,106.777777777778,106,9,12212.7777777778,12326,9,15573,15929
248,764945.6,6309952.058,22.274,11,9,15318.7777777778,14858,9,18066.3333333333,17524,9,96.5555555555556,100,9,12434.6666666667,12438,9,15428,15274
249,764951.885,6309951.413,22.301,13,9,14468,13929,9,17231.2222222222,15737,9,113.888888888889,113,9,13498.6666666667,13564,9,15006.7777777778,15098
250,764955.71,6309951.534,22.295,15,9,13613.3333333333,13013,9,17097.3333333333,17001,9,126.222222222222,129,9,14682.3333333333,14480,9,15971.5555555556,15256
251,764961.382,6309950.361,22.349,10,9,16065,16144,9,20909.5555555556,19952,9,92.6666666666667,92,9,12787.7777777778,12662,9,17074.1111111111,16896
252,764968.329,6309951.938,22.352,8,9,25828.6666666667,27446,9,29575.2222222222,30521,9,87.8888888888889,86,9,10654.1111111111,10657,9,16267.4444444444,16193
253,764976.514,6309951.706,22.42,5,9,14298.7777777778,14154,9,18702.1111111111,18127,9,85.5555555555556,84,9,13751.7777777778,13719,9,15752.6666666667,15878
254,764983.487,6309951.178,22.418,4,9,11105.6666666667,10979,9,15031.3333333333,14675,9,88.2222222222222,94,9,14207.6666666667,14019,9,14777.2222222222,14602
255,764990.486,6309950.607,22.417,5,9,15032.7777777778,15050,9,19695.7777777778,20225,9,105.222222222222,100,9,12705.5555555556,12634,9,16455.3333333333,16830
256,764991.332,6309952.584,22.462,0,9,12834.5555555556,12438,9,17797.1111111111,17970,9,116.666666666667,117,9,15083.3333333333,15088,9,15817.5555555556,15674
257,764990.711,6309956.078,22.458,0,9,16421.3333333333,16511,9,20715.4444444444,21236,9,118.666666666667,117,9,14666.7777777778,14523,9,16502.3333333333,16544
258,764990.099,6309957.713,22.485,0,9,18003.7777777778,17943,9,21896.8888888889,22446,9,101.444444444444,103,9,12302.6666666667,11980,9,15666.2222222222,15663
259,764989.769,6309959.632,22.468,0,9,13157.8888888889,13148,9,16298.8888888889,16214,9,103.666666666667,103,9,15662.8888888889,15409,9,14791.8888888889,14836
260,764989.261,6309962.04,22.477,0,9,13812.8888888889,13029,9,16689.7777777778,16315,9,102.888888888889,104,9,15355,15445,9,14580.1111111111,14149
261,764991.261,6309962.865,22.498,0,9,22397.7777777778,22136,9,26813.1111111111,27401,9,55,50,9,11448.2222222222,11451,9,17451.4444444444,18214
262,764992.411,6309959.344,22.484,0,9,14827.5555555556,14172,9,16857.4444444444,16515,9,84.5555555555556,92,9,12779,12813,9,13304.7777777778,13041
263,764992.815,6309957.199,22.482,0,10,15388.9,15299.5,10,18577.1,19020.5,10,94.5,92.5,10,13257.3,13267.5,10,14012.4,13957.5
264,764993.999,6309953.296,22.462,1,10,13960.3,13715.5,10,16329.9,15760,10,88.4,88,10,12439.4,12478,10,13520.5,13097
265,764992.267,6309949.271,22.456,1,9,17530.6666666667,17460,9,22640.4444444444,23066,9,124.444444444444,125,9,14075.1111111111,14378,9,17570.4444444444,17704
266,764994.412,6309942.117,22.45,4,9,16525.3333333333,15465,9,17129,15669,9,93.5555555555556,91,9,10540.7777777778,10530,9,13034.2222222222,12954
267,764998.725,6309944.362,22.404,8,12,14411.6666666667,14083,12,18473.75,18792.5,12,99.25,99.5,12,12092.0833333333,12099.5,12,14505.4166666667,14397.5
268,765001.928,6309944.442,22.331,18,9,10542.1111111111,10280,9,16091.5555555556,16155,9,125.111111111111,125,9,14935,14934,9,16655.7777777778,16412
269,765005.429,6309943.47,22.348,10,9,18492.8888888889,18939,9,23709.4444444444,22887,9,87.2222222222222,85,9,11014.8888888889,11097,9,16150.7777777778,15900
270,765009.145,6309947.483,22.336,10,9,16739.6666666667,16570,9,19252.7777777778,18899,9,86.7777777777778,87,9,10270.8888888889,10263,9,13925.6666666667,13724
271,765013.664,6309950.605,22.323,10,9,23222.3333333333,22653,9,23543.2222222222,23805,9,65.4444444444444,71,9,9192.33333333333,9097,9,14543.4444444444,14322
272,765019.984,6309954.628,22.36,7,9,22710.6666666667,22392,9,24548.4444444444,25915,9,57.6666666666667,61,9,8990,9094,9,14720.8888888889,14951
273,765028.273,6309957.216,22.397,9,9,24226.6666666667,24355,9,25727.6666666667,26027,9,49.3333333333333,48,9,8107.77777777778,8178,9,15909.8888888889,15918
274,765033.078,6309954.758,22.319,19,9,12582.1111111111,12319,9,17791.7777777778,16691,9,106.555555555556,108,9,10395.7777777778,10536,9,15539.6666666667,15389
275,765024.754,6309949.965,22.383,7,8,26483,26677,8,29861.25,30059,8,60,57,8,9237.875,9382.5,8,17967.875,17925
276,765015.864,6309944.55,22.32,12,9,20460.2222222222,20502,9,22108.7777777778,21937,9,71.6666666666667,87,9,9761.44444444445,9868,9,15483.6666666667,15541
277,765006.52,6309941.453,22.325,12,9,24072.8888888889,24448,9,27753.7777777778,28046,9,61.2222222222222,64,9,10825.1111111111,10873,9,17548.3333333333,17649
278,765001.807,6309935.442,22.375,6,9,13258.6666666667,13101,9,16721.3333333333,17184,9,97.5555555555556,103,9,12429.2222222222,12491,9,13419.2222222222,13556
279,764998.594,6309928.225,22.359,6,9,15002.7777777778,13985,9,17416.4444444444,16144,9,92.8888888888889,101,9,13349.1111111111,13503,9,16378.6666666667,16683
280,764989.266,6309921.965,22.387,5,9,11590.5555555556,11488,9,15470.7777777778,15028,9,116.888888888889,120,9,13242.4444444444,13065,9,14246.7777777778,14045
281,764983.932,6309919.458,22.409,6,9,13245.6666666667,13265,9,18122,17530,9,108.444444444444,113,9,14469.4444444444,14427,9,15993.6666666667,15513
282,764974.983,6309914.471,22.369,7,12,13232.4166666667,13183.5,12,16441.25,16273.5,12,104.333333333333,105.5,12,12517.6666666667,12441.5,12,14164.6666666667,14160
283,764967.761,6309911.554,22.302,15,9,17073.3333333333,17044,9,21371.3333333333,21179,9,97.1111111111111,99,9,12386,12054,9,16907.6666666667,16914
284,764958.495,6309908.603,22.3,10,10,19240.5,18949,10,22173.8,21289.5,10,104.3,99.5,10,13313.6,13490,10,18316.4,17742.5
285,764950.426,6309903.982,22.346,10,11,20829.3636363636,21635,11,22882.4545454545,23021,11,110.545454545455,107,11,11309.8181818182,11116,11,16288,16007
286,764938.049,6309899.63,22.381,6,12,19107,18489,12,22194.5,22926.5,12,102.75,107,12,12738.75,12730,12,16867.75,17285
287,764932.648,6309897.145,22.352,8,9,16105.1111111111,15334,9,18240.1111111111,17050,9,98.8888888888889,103,9,12189.7777777778,12214,9,15039.2222222222,14744
288,764926.484,6309895.208,22.379,8,8,15508.625,15125.5,8,17455.625,17043.5,8,84.875,83,8,13016.125,13057.5,8,14839.875,14875
289,764920.622,6309892.501,22.391,5,10,12673.7,12912,10,15872.5,15737.5,10,106.2,105.5,10,13673.6,13598.5,10,14747.3,14661.5
290,764912.446,6309890.809,22.412,5,9,17106.3333333333,16168,9,19394.5555555556,17824,9,87.4444444444444,85,9,12508.6666666667,12692,9,14997,14756
291,764906.05,6309888.631,22.4,9,9,14298.5555555556,13792,9,18248.3333333333,18076,9,96.8888888888889,102,9,12628.5555555556,12497,9,15777.7777777778,15973
292,764900.142,6309885.987,22.375,9,9,21893.5555555556,22702,9,26181.8888888889,26565,9,90.7777777777778,87,9,11509.6666666667,11382,9,18314.5555555556,18723
293,764893.186,6309883.329,22.39,5,9,16323,16330,9,21451.8888888889,21263,9,117.444444444444,112,9,13080.8888888889,13075,9,18116.6666666667,17525
294,764884.039,6309879.296,22.436,6,10,14967.3,14814.5,10,18984.4,18495,10,104.3,101,10,13454.4,13283.5,10,16149.4,16007.5
295,764883.394,6309877.058,22.462,1,9,15998.2222222222,15568,9,20105.8888888889,18106,9,113.777777777778,114,9,14359.1111111111,14462,9,16116,15881
296,764883.648,6309876.214,22.481,0,9,16455.2222222222,16568,9,20173.2222222222,19916,9,105.111111111111,104,9,14788.7777777778,14898,9,16035.7777777778,16149
297,764884.001,6309874.669,22.482,1,8,13376,13467,8,17076.75,17065,8,113.375,113.5,8,14918.125,15000,8,15380.75,15335.5
298,764879.734,6309875.135,22.342,20,9,11205.5555555556,11246,9,15095.8888888889,14632,9,121.666666666667,118,9,15160.4444444444,15137,9,16577.3333333333,16554
299,764877.648,6309874.251,22.397,12,9,13314.2222222222,13133,9,18545,18662,9,123,122,9,14647,14777,9,17580.7777777778,17493
300,764869.583,6309869.307,22.373,13,10,9188.8,8929,10,11436.6,11225.5,10,115.1,116,10,12252.5,12285.5,10,13313,13086
301,764858.603,6309861.007,22.434,8,9,13116.2222222222,12700,9,15118.3333333333,14427,9,80.6666666666667,86,9,10329.6666666667,10357,9,12593.4444444444,12224
302,764852.208,6309857.664,22.47,10,9,20186.6666666667,19677,9,22764.2222222222,21323,9,73.6666666666667,74,9,10967.6666666667,11025,9,16205.1111111111,15963
303,764850.547,6309857.103,22.363,19.5,8,9100.5,9178,8,13171.25,13266.5,8,105.75,106,8,14891.25,14786,8,14731,14827
304,764846.674,6309856.317,22.467,9,12,17923.1666666667,17556,12,21562.25,21516,12,78.25,80.5,12,11223.0833333333,11121,12,15941.9166666667,16497
305,764839.067,6309851.253,22.414,9,10,18125.6,18206,10,22133.1,22643.5,10,76.3,73.5,10,11708.2,11770.5,10,16078.4,15912
306,764828.437,6309846.975,22.423,9,9,10436.3333333333,10325,9,13184.3333333333,13069,9,85,80,9,11553.2222222222,11580,9,12109.3333333333,12076
307,764817.536,6309846.217,22.477,8,10,15958.7,15607.5,10,18553.5,18008,10,61.2,58.5,10,8212.1,8225.5,10,13380.5,13256.5
308,764812.307,6309843.247,22.445,11,8,23342.5,22688.5,8,21257.375,20525,8,52.625,51.5,8,7125.25,7083,8,13498.75,13290.5
309,764815.422,6309824.315,22.403,10,12,12703.3333333333,12476,12,17063.0833333333,17314.5,12,103.083333333333,101,12,11495.5833333333,11523.5,12,16297.9166666667,16799.5
310,764815.97,6309820.317,22.358,16,9,11695.4444444444,11470,9,15927.8888888889,15789,9,101.777777777778,104,9,11290.4444444444,11355,9,16508.1111111111,16395
311,764816.361,6309818.483,22.374,16,9,13302.7777777778,13600,9,16991.1111111111,16788,9,97,98,9,10193.4444444444,10232,9,16111,16069
312,764816.756,6309816.834,22.387,14,12,14279.5833333333,14022.5,12,20751.8333333333,20679.5,12,106.666666666667,106,12,15144.3333333333,15017.5,12,20773.5,20690.5
313,764817.242,6309814.088,22.394,16,8,14668.125,14722,8,21705.75,21899,8,110.25,112.5,8,15274.875,15258,8,21881.875,21702.5
314,764818.054,6309814.402,22.424,13,9,14075.3333333333,13564,9,18419.2222222222,18196,9,89.2222222222222,89,9,10488.3333333333,10386,9,16159.5555555556,16135
315,764819.095,6309804.897,22.494,7,9,23786.5555555556,23667,9,24572.8888888889,24498,9,57.8888888888889,55,9,8520.88888888889,8457,9,16343,16293
316,764820.171,6309797.721,22.436,8,9,16190.3333333333,15769,9,17067.4444444444,17663,9,86.3333333333333,85,9,8411.11111111111,8395,9,14118.7777777778,14078
317,764829.159,6309795.715,22.457,8,9,14898.5555555556,14312,9,18154,16817,9,99.8888888888889,97,9,10200.8888888889,10146,9,14497.4444444444,14313
318,764835.38,6309794.755,22.489,7,9,14508.3333333333,14019,9,17915.6666666667,17156,9,101.333333333333,105,9,11228.2222222222,11102,9,15275,15437
319,764845.197,6309796.028,22.439,9,10,14648.1,13602.5,10,16800.7,15951.5,10,87.7,87.5,10,11123.3,11066,10,15095.2,14193
320,764854.363,6309797.231,22.428,9,9,12378.2222222222,12453,9,15107.8888888889,15103,9,94.2222222222222,100,9,11625.1111111111,11648,9,13213.3333333333,13555
321,764859.819,6309797.686,22.411,10,9,9986.22222222222,9714,9,14900.3333333333,14660,9,118.666666666667,119,9,15605.5555555556,15537,9,15596.4444444444,15595
322,764866.393,6309799.379,22.414,9,10,17073,17174,10,19991.7,20538,10,93.2,95.5,10,11474.6,11468.5,10,15806.1,16192.5
323,764871.98,6309801.075,22.396,10,9,14846,14179,9,19815,19172,9,84.2222222222222,87,9,12999.7777777778,13313,9,16301,15900
324,764879.932,6309802.809,22.409,11,10,16219,16447.5,10,19425.7,19704.5,10,91.6,99,10,11739.7,11573.5,10,15231.1,15672
325,764886.059,6309803.686,22.436,6.5,9,10525.5555555556,10548,9,14583.3333333333,14644,9,135.333333333333,139,9,17983.2222222222,18110,9,16058.4444444444,16111
326,764893.473,6309804.804,22.411,8,10,17783.9,17343.5,10,20859,19472.5,10,108.4,107.5,10,12928,12996.5,10,16762.9,16380.5
327,764899.979,6309807.984,22.345,20,9,11103.2222222222,11030,9,17214.6666666667,17526,9,149.555555555556,149,9,17664.7777777778,16927,9,19368.4444444444,19570
328,764905.731,6309807.126,22.389,3,12,17755.0833333333,18017,12,22172.8333333333,22093,12,99.8333333333333,99.5,12,12458.1666666667,12556.5,12,16610.1666666667,16782.5
329,764913.337,6309807.801,22.398,3,9,10916.5555555556,10826,9,14495,14196,9,111.555555555556,111,9,16235.4444444444,16172,9,14699.1111111111,14669
330,764926.286,6309807.293,22.372,9,10,20226.5,19582.5,10,25406.6,25116,10,74,76,10,12405.8,12234,10,18732,18214.5
331,764932.747,6309806.415,22.383,7,8,15685.5,14897.5,8,17571.25,16743,8,99.625,100.5,8,11086.5,11035.5,8,14490.875,14259
332,764933.986,6309805.599,22.308,18,9,16013.2222222222,15122,9,20550.5555555556,19762,9,101.666666666667,100,9,13367.4444444444,13304,9,16133.2222222222,16475
333,764954.317,6309804.072,22.371,7,9,17879.8888888889,17304,9,21629.7777777778,20615,9,90.3333333333333,86,9,12245.5555555556,12165,9,16820.1111111111,16954
334,764965.542,6309804.853,22.385,9,9,16125.3333333333,15917,9,19162.1111111111,18798,9,98.6666666666667,98,9,11186,11095,9,15750.7777777778,15529
335,764978.531,6309804.13,22.368,7,9,16622.8888888889,16502,9,20644.2222222222,21445,9,104,103,9,12322.7777777778,12268,9,15863.8888888889,15890
336,764988.945,6309802.286,22.356,10,9,20795.5555555556,20744,9,26136.4444444444,25656,9,90.4444444444444,90,9,11391.3333333333,11286,9,17098.3333333333,17327
337,764993.177,6309800.606,22.333,15,10,15193.8,14537,10,17249.7,16648,10,105,105,10,13003.8,12930,10,15327.4,14655
338,765007.995,6309798.319,22.379,6,9,11848.7777777778,11591,9,15086.7777777778,13888,9,111.666666666667,104,9,13977.7777777778,14012,9,13712.1111111111,13518
339,765015.93,6309798.087,22.35,9,9,17781,18144,9,21412,20619,9,100.222222222222,103,9,13312.2222222222,13349,9,17283.5555555556,17590
340,765027.586,6309794.002,22.316,11,9,15764.3333333333,15508,9,17702.5555555556,17157,9,102.222222222222,112,9,10453.2222222222,10173,9,14187.7777777778,13892
341,765034.526,6309790.936,22.404,6,9,18661.3333333333,18455,9,17634.5555555556,17334,9,54.4444444444444,48,9,7528.33333333333,7523,9,12342.6666666667,11735
342,765099.621,6309530.276,22.235,9,8,25396,25303.5,8,24140.75,24435.5,8,54,58.5,8,8246.125,8305.5,8,14592.875,14729.5
343,765095.955,6309531.73,22.298,0,10,18861.6,18437.5,10,22076,21814.5,10,81.4,82,10,9027,9066,10,14763.4,14789.5
344,765093.433,6309531.464,22.242,8,9,12075,11382,9,14693.3333333333,14213,9,104.111111111111,101,9,11983.3333333333,12064,9,14138.4444444444,13777
345,765087.031,6309530.817,22.205,5,12,16015.0833333333,15812,12,18282.4166666667,17493,12,94.25,94,12,10684.6666666667,10624.5,12,14430,14133.5
346,765075.185,6309531.014,22.226,8,9,13574.2222222222,13766,9,17164.7777777778,16581,9,115.444444444444,116,9,13959.1111111111,13893,9,15229.5555555556,15220
347,765069.331,6309533.236,22.212,8,9,14972.8888888889,15485,9,19017.2222222222,19106,9,104.444444444444,103,9,12255.5555555556,12164,9,14928.8888888889,14973
348,765064.305,6309535.21,22.212,10,9,17419,17915,9,20450,21015,9,92,97,9,10936,10835,9,15072.4444444444,15029
349,765055.599,6309539.638,22.241,7,9,12121.2222222222,11535,9,15498.8888888889,14840,9,105.111111111111,101,9,13721.3333333333,13631,9,14328.8888888889,13959
350,765047.83,6309542.218,22.186,12,9,21437.1111111111,21617,9,25128.8888888889,25748,9,79.4444444444444,78,9,12176.8888888889,12250,9,18840.5555555556,18798
351,765041.562,6309544.014,22.227,5,9,16060.4444444444,15654,9,19772,19616,9,104.444444444444,108,9,12256,12106,9,15894.8888888889,15733
352,765036.757,6309545.65,22.19,19,10,13031.9,12865,10,17356.1,17072.5,10,117.4,119,10,14744.1,14801.5,10,16555.2,16320.5
353,765030.603,6309548.551,22.243,10,9,19066.2222222222,19089,9,23229.3333333333,23434,9,100.888888888889,98,9,12474.6666666667,12398,9,17266.2222222222,17396
354,765024.133,6309550.548,22.244,9,9,15345.4444444444,15315,9,20818.1111111111,21437,9,110.111111111111,109,9,13249.5555555556,13306,9,17563.2222222222,18001
355,765022.792,6309551.101,22.189,19,9,26228,26199,9,29722.6666666667,28433,9,102.777777777778,100,9,13465.1111111111,13399,9,20329.4444444444,20270
356,765019.184,6309553.465,22.262,9,9,22517.2222222222,23789,9,26225.4444444444,27297,9,104.444444444444,102,9,11612.6666666667,11651,9,17813.6666666667,18351
357,765014.761,6309556.127,22.267,10,12,9226,9168,12,12935.5,12990.5,12,118.083333333333,119,12,14755.1666666667,14773.5,12,14728.6666666667,14731.5
358,765007.18,6309559.282,22.271,9,9,20216.7777777778,20321,9,23231.7777777778,24495,9,105.555555555556,104,9,12162.2222222222,11918,9,17265,17351
359,764998.766,6309563.638,22.267,10,9,16105.2222222222,16945,9,21006.3333333333,21750,9,128.111111111111,127,9,15522.2222222222,15781,9,18371,18781
360,764995.515,6309564.804,22.253,13.5,9,15263,15372,9,20336.1111111111,20697,9,108.777777777778,114,9,14562,14654,9,17608.7777777778,17539
361,764988.999,6309567.082,22.269,9,9,13663.1111111111,13504,9,16797.6666666667,16675,9,108.333333333333,108,9,13708.3333333333,13899,9,15515.1111111111,15685
362,764982.536,6309570.75,22.284,10,9,11761.4444444444,11871,9,16230.7777777778,16296,9,123.444444444444,124,9,14688.7777777778,14649,9,15552.6666666667,15555
363,764974.163,6309570.109,22.3,10,9,18484.4444444444,18193,9,20585.3333333333,20673,9,86.2222222222222,90,9,10867.7777777778,10995,9,14573.4444444444,14297
364,764964.016,6309569.034,22.31,7,9,18808.4444444444,18841,9,19716.2222222222,19685,9,82.5555555555556,77,9,11259.1111111111,11469,9,15033.3333333333,14944
365,764958.681,6309568.148,22.289,8,9,10385.2222222222,10372,9,14084.6666666667,14342,9,115.666666666667,115,9,13654,13696,9,14913.5555555556,14880
366,764954.379,6309567.171,22.328,8,9,13697.6666666667,13503,9,16660.5555555556,16636,9,106.333333333333,105,9,12868.2222222222,12871,9,15134.4444444444,15028
367,764949.573,6309570.156,22.314,9,9,14214.8888888889,14005,9,18294.2222222222,18732,9,122.222222222222,121,9,13843,13697,9,16133.1111111111,16160
368,764941.92,6309575.186,22.269,15,9,10684.5555555556,10465,9,14889.6666666667,14579,9,113.222222222222,115,9,14005.3333333333,14077,9,15469.8888888889,15320
