field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,R_count,R_mean,R_median,G_count,G_mean,G_median
60,764903.749,6310047.481,22.42,18,10,12170.9,12183,10,15594.3,15310.5,10,100,96.5,10,14223.4,14430,10,16146.6,16020.5
61,764899.438,6310049.761,22.436,18,9,23023.5555555556,22388,9,27421.6666666667,28576,9,79.5555555555556,77,9,13120.7777777778,12972,9,20782.6666666667,20547
62,764896.299,6310052.181,22.422,17,9,15560.6666666667,15147,9,17798.5555555556,17784,9,129,128,9,14252.7777777778,13600,9,18867.3333333333,17789
63,764892.322,6310055.437,22.431,14,9,15331.5555555556,14330,9,17299.1111111111,17104,9,103.555555555556,104,9,12265.7777777778,12126,9,15807.1111111111,15714
64,764886.263,6310060.44,22.418,18,8,15991,15607.5,8,19010.125,18618,8,100.25,99.5,8,11690,11491.5,8,15141,14839
65,764882.811,6310062.334,22.423,16.5,9,10798.3333333333,10834,9,16194.1111111111,15592,9,141.555555555556,144,9,17243,17234,9,18607.2222222222,18488
66,764883.792,6310062.643,22.464,14,9,10781.8888888889,10808,9,14515.5555555556,14672,9,123.444444444444,124,9,14067.7777777778,14221,9,14790.7777777778,14663
67,764879.044,6310065.622,22.44,15,10,17956.4,17961,10,22036.8,20957,10,80.4,82.5,10,12908.7,12987.5,10,17117.1,16261
68,764874.574,6310068.218,22.46,13,9,12621.4444444444,12777,9,16582.8888888889,16404,9,103.444444444444,101,9,15005.6666666667,14798,9,16557.7777777778,16488
69,764871.818,6310070.413,22.462,14,9,18829.1111111111,19581,9,22793.4444444444,23403,9,137.666666666667,138,9,12976.8888888889,12821,9,17128.2222222222,17113
70,764867.877,6310072.673,22.458,15,9,19588.2222222222,20047,9,26756.5555555556,28363,9,109.555555555556,106,9,13172.1111111111,13277,9,20230.3333333333,20153
71,764864.612,6310075.75,22.512,9,9,15573.5555555556,15569,9,20510.3333333333,20666,9,105.444444444444,103,9,13486.7777777778,13297,9,16778.4444444444,16931
72,764863.98,6310077.519,22.474,11,9,8954.33333333333,8918,9,13616.2222222222,13620,9,126.111111111111,124,9,15830.2222222222,15924,9,15411.4444444444,15376
73,764864.652,6310076.988,22.517,9,11,8970.18181818182,8880,11,13396.7272727273,13258,11,119.909090909091,120,11,15898.1818181818,15768,11,15398.0909090909,15438
