field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
7,765022.973,6309982.99,22.356,14,9,63.6666666666667,69,11.9629056299509,37,76,9,16388.3333333333,16092,869.61677383393,15089,17567,9,8776.33333333333,8793,350.40262556094,8205,9294,9,25712.6666666667,25530,1837.68066383205,23235,28780,9,25314.2222222222,24560,1890.34733891113,23273,28291
8,765022.627,6309983.887,22.346,14,9,61.7777777777778,61,9.33068745565201,50,80,9,17191.5555555556,17255,307.533597482042,16753,17602,9,9054.77777777778,8960,250.258878309721,8775,9457,9,28525.6666666667,28540,1151.23904265506,27127,31096,9,27698.2222222222,27661,973.688380195838,26278,29398
9,765022.449,6309983.953,22.353,14,9,70,65,17.1593835683117,43,105,9,13588.5555555556,13554,957.6285653299,12216,15297,9,9440.11111111111,9500,377.483905306481,8767,10071,9,16464.4444444444,16217,1344.6792356966,14310,19261,9,16359.6666666667,16247,1022.6949148641,14644,18239
10,765021.285,6309985.037,22.347,14,12,73.9166666666667,76.5,16.9384096721688,46,101,12,13312.0833333333,13229,1100.43790210483,11550,15476,12,7717.25,7899,418.515655820265,6992,8211,12,21558.25,21393.5,2433.53412841626,17564,25699,12,23649.8333333333,23460,2136.91318780671,20160,27052
11,765016.551,6309986.676,22.392,9,10,98.7,101,19.4218948612127,64,125,10,14770.8,14993,1834.45500353647,12243,17555,10,10852,10870,340.77030387051,10235,11473,10,18744.3,18730,4208.42219958977,13296,25716,10,16882.6,16944,3114.81200716833,12427,22215
12,765012.084,6309988.158,22.387,10,9,106.111111111111,112,12.7055932079314,83,122,9,15466.6666666667,15852,892.0840767551,13607,16405,9,11563.2222222222,11924,798.641037120457,10237,12521,9,21564.7777777778,20815,1611.15236728786,19513,24599,9,18671.4444444444,18085,1742.68535510963,16987,22436
13,765009.679,6309987.172,22.376,10,9,102.333333333333,103,18.5232586525997,73,128,9,14196.2222222222,14400,573.95291672513,13245,14804,9,11275.7777777778,11073,645.97158138003,10690,12833,9,18802.4444444444,18649,1775.86217627827,16015,21306,9,15361.7777777778,15072,1516.56847871017,12806,17314
15,765001.009,6309982.156,22.315,24,9,137.777777777778,138,4.07643029507648,131,144,9,16611.6666666667,16521,800.511225544166,15597,17828,9,17245.7777777778,17490,754.920713684965,15832,18403,9,12957.6666666667,12665,984.851032164538,11817,14974,9,9079.66666666667,8755,659.68915238753,8522,10495
16,765000.046,6309981.863,22.387,20,9,108.333333333333,111,11.7567947256989,89,123,9,17573.6666666667,17689,1506.49881070868,14712,19721,9,12068.8888888889,11967,414.967855366719,11383,12815,9,23399,23662,3030.90037960853,17489,27289,9,18781.8888888889,19045,2140.83298660666,14555,21521
17,764999.692,6309980.947,22.391,22,10,81.4,78.5,8.41665016500033,71,98,10,16973,17331.5,990.29167420513,14939,18367,10,12227.7,12093.5,317.534580793966,11886,12848,10,21870.9,21964.5,1851.44870034252,18449,24879,10,17133.8,17330,1238.28064670332,14779,18781
