field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,R_count,R_mean,R_median
1005,750301.506,6297563.848,25.043,0,9,11435.2222222222,11941,9,13287.8888888889,13019,9,89.1111111111111,83,9,14127.8888888889,13249,9,13649.5555555556,13280
1006,750296.262,6297567.109,25.014,0,8,10905.25,10856.5,8,11236.875,11095.5,8,47.75,41.5,8,13003.625,12652.5,8,10144.125,9917.5
1007,750293.709,6297569.082,25.058,0,9,9659.88888888889,9793,9,10431.8888888889,10878,9,42.8888888888889,34,9,12260.2222222222,12705,9,9588.44444444445,9776
1008,750292.631,6297571.116,25.03,0,9,26314,26619,9,21857.7777777778,21890,9,63,55,9,31106.2222222222,31287,9,14486.6666666667,14592
1009,750292.155,6297572.288,25.021,0,12,21355.1666666667,21646.5,12,17862.5833333333,17957,12,60.75,63,12,25629.6666666667,26082.5,12,12052.3333333333,12115.5
1010,750292.293,6297574.725,25.004,1,8,14832.375,14310.5,8,11892,11436.5,8,30.75,31,8,15343.75,15408.5,8,8625.25,8663.5
1011,750289.75,6297575.087,25.003,1,9,18414,19112,9,17399,17591,9,82.2222222222222,65,9,22773.8888888889,22579,9,13329.5555555556,13252
1012,750288.816,6297574.765,25.054,0,9,13512.5555555556,13930,9,17028.2222222222,17043,9,103.444444444444,107,9,21094.8888888889,21094,9,15629.4444444444,15853
1013,750281.731,6297577.263,25.019,9,12,18775.5833333333,18589.5,12,17158.4166666667,17022,12,51.75,50,12,22300.6666666667,22460.5,12,11930.25,11720
1014,750273.864,6297578.606,25.07,7,9,18284.7777777778,17753,9,18057.1111111111,17958,9,71.5555555555556,68,9,23160.7777777778,23179,9,12938.5555555556,12868
1015,750261.36,6297581.633,25.089,9,10,8122,8149,10,10922.3,10847,10,77.2,77,10,9848.5,9879,10,14513.7,14502
1016,750253.494,6297585.414,25.119,7,9,27977.8888888889,27625,9,25693.7777777778,25747,9,76.1111111111111,75,9,37253,37639,9,16385.6666666667,16206
1017,750246.069,6297587.856,25.081,6.5,9,16970.8888888889,16758,9,17685,17282,9,53,61,9,20730.5555555556,20340,9,12788.5555555556,12777
1018,750239.036,6297591.422,25.1,7,9,14692,14409,9,12857,13140,9,43,37,9,15789.1111111111,15554,9,8825,8933
