field_1,field_2,field_3,field_4,field_5,R_count,R_mean,R_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
457,765099.72,6308821.146,20.752,1,10,14343.1,14323,10,22101.7,21517,10,86.8,96,10,27817.3,26776.5,10,19387.1,20021
458,765099.948,6308821.066,20.724,2,8,11973.375,12083,8,16392,17492.5,8,53.125,57.5,8,20948.125,21514,8,15202.125,14613.5
459,765099.917,6308819.094,20.683,4,9,11731.5555555556,11860,9,13968.5555555556,13542,9,54.3333333333333,55,9,16791.1111111111,16348,9,13564.4444444444,13756
460,765101.142,6308817.182,20.746,1,10,10928.6,10814,10,11361.2,11081.5,10,31.6,30,10,13434.8,13124,10,10281.5,9999.5
461,765097.283,6308816.831,20.769,1,9,19025.6666666667,18970,9,26636.6666666667,26982,9,105,126,9,34715,35047,9,27961,28959
462,765097.035,6308815.641,20.755,1,12,10650.9166666667,10617.5,12,11377,11522,12,46.75,36,12,13991.4166666667,14237.5,12,12772.25,12606.5
463,765096.342,6308815.986,20.717,2,9,8952.66666666667,8193,9,9888,9481,9,41.4444444444444,24,9,11595.4444444444,11129,9,10378.7777777778,10144
464,765096.525,6308813.206,20.709,3,12,8489.33333333333,8168.5,12,11019,10143,12,57.4166666666667,50,12,13251.75,11904,12,14399.5833333333,13442
465,765097.656,6308812.894,20.756,1,10,10899.2,10159,10,12369.7,11376.5,10,60.4,58.5,10,14820.3,14361.5,10,12791.5,11953
466,765097.346,6308811.427,20.712,3,10,17093.9,19072,10,21791.4,22356.5,10,121.7,128.5,10,23785.6,25619,10,17658.1,18837
467,765097.579,6308805.267,20.625,16,10,19338.2,19466,10,20149,20511,10,90.7,78,10,20684.5,20720.5,10,13102.5,13218.5
468,765080.337,6308801.17,20.686,8,10,6313.6,6086.5,10,8610.2,7292,10,24.9,20,10,9791.5,8954.5,10,10766,9767
469,765076.475,6308794.983,20.719,6,8,10344.125,10259.5,8,16065.75,15772.5,8,56.5,52,8,20687.375,20499.5,8,20227.5,20160.5
470,765069.478,6308791.363,20.722,4,9,9157,8325,9,11522.5555555556,9180,9,41.3333333333333,24,9,13234.6666666667,11253,9,12301.8888888889,10892
471,765069.515,6308790.685,20.755,3,10,9430.5,9300,10,10350.6,10272,10,48.3,33.5,10,10841.9,10480.5,10,9752.5,9415
472,765069.442,6308790.014,20.746,1,10,6891.8,6828.5,10,7385.4,7192.5,10,26.9,25,10,8787.4,8637.5,10,8518.7,8281
473,765068.936,6308789.163,20.741,3.5,9,10599.2222222222,10647,9,13531.8888888889,13259,9,44.2222222222222,50,9,16615.5555555556,16098,9,14274.1111111111,13782
474,765068.303,6308788.269,20.744,5,9,6871.22222222222,6892,9,7244.66666666667,7202,9,24.7777777777778,24,9,9039,8609,9,8809.77777777778,8709
475,765066.42,6308789.188,20.763,1,10,9742.8,9657,10,12594.5,12707,10,32.8,26.5,10,17950,16683.5,10,16856.5,17080.5
476,765065.709,6308791.927,20.771,1,9,13503.3333333333,13742,9,20277.1111111111,20546,9,81.8888888888889,85,9,28515.4444444444,30536,9,25714.4444444444,26580
477,765064.434,6308788.313,20.765,1,9,12917.7777777778,13042,9,17966.2222222222,18892,9,95.4444444444444,88,9,24715.5555555556,25626,9,19737.7777777778,20960
478,765061.604,6308786.022,20.751,2.5,9,11493.5555555556,11414,9,10214.5555555556,9707,9,41.5555555555556,43,9,12501.5555555556,11923,9,10549.1111111111,10263
479,765056.815,6308784.319,20.742,6,10,12953,12884.5,10,14056.8,14854,10,64.7,73.5,10,15806.8,16078.5,10,11562.6,11604
480,765054.576,6308784.995,20.753,3,9,9106.66666666667,8972,9,12681.5555555556,12948,9,42.5555555555556,45,9,17922,18256,9,16445.5555555556,16336
481,765050.798,6308784.877,20.728,4,9,11217.5555555556,10780,9,15653.4444444444,15411,9,64.5555555555556,78,9,20025.2222222222,19759,9,16139.6666666667,15819
482,765042.93,6308782.971,20.733,6,10,14565.9,14917.5,10,22424.4,23074.5,10,103.6,111,10,28110.1,30176,10,20986.9,21556.5
483,765036.227,6308779.944,20.72,6,9,11447.7777777778,12724,9,17014.6666666667,18243,9,58.5555555555556,82,9,23832.6666666667,27327,9,20522.2222222222,21778
484,765031.834,6308771.958,20.768,5,10,12359,12204,10,18114.1,18453.5,10,72.5,80.5,10,24472.9,24726.5,10,19118.3,19745.5
485,765033.503,6308766.204,20.751,0,10,11013.4,10776,10,13290.6,12318,10,60.1,58,10,14954,14263.5,10,10525.7,10387
486,765033.856,6308764.601,20.758,0,9,8914.44444444445,9006,9,10276.7777777778,10349,9,35.3333333333333,25,9,13236.5555555556,13203,9,11408.4444444444,11523
487,765035.399,6308762.001,20.725,0,10,9650,9688.5,10,11699.7,11879,10,57.9,59,10,14104.8,13880.5,10,11987.4,11923.5
488,765035.612,6308763.021,20.755,0,9,8503.66666666667,8281,9,10038.8888888889,10127,9,32.8888888888889,32,9,12162.1111111111,12355,9,11409.3333333333,11475
489,765036.42,6308760.127,20.704,1,10,12271.2,12130.5,10,13156.1,12284,10,54.4,46.5,10,16123.4,15559,10,13638.3,13276
490,765036.33,6308756.765,20.748,1,9,8990.11111111111,9371,9,12766.2222222222,13070,9,51.6666666666667,62,9,17408.7777777778,17483,9,14614.6666666667,14813
491,765036.762,6308756.785,20.745,1,10,8671,8143,10,11911,10786,10,21.5,12,10,17054.8,15250.5,10,15154,14255
492,765036.97,6308752.546,20.694,2.5,10,12779.8,12966,10,15590.5,15396,10,43.3,32.5,10,21117.4,20646,10,16083.4,15893.5
493,765037.009,6308743.903,20.669,6,9,13280.7777777778,13892,9,18084,18124,9,81.7777777777778,86,9,24338.4444444444,24301,9,19545.3333333333,19405
494,765036.931,6308739.462,20.682,4,10,9300.5,8440,10,12545,11128,10,36,27.5,10,17915,16838,10,14996.4,14048
495,765037.387,6308729.331,20.642,9,10,11205,11447.5,10,18368.2,18447.5,10,35.8,27,10,29456.8,30301.5,10,24796.6,25519.5
496,765037.537,6308726.158,20.606,18,10,14450.1,14732,10,10044.7,10065,10,39.8,38,10,9682.5,9733.5,10,6607,6579
497,765038.331,6308720.226,20.649,4,12,7275.41666666667,6945,12,8717.58333333333,8236.5,12,45.6666666666667,31.5,12,10637,9795,12,10532.75,9808
498,765039.254,6308716.981,20.638,4,9,9359.11111111111,8898,9,12455.1111111111,11611,9,32.1111111111111,27,9,17739.1111111111,17093,9,15513.4444444444,14426
499,765040.015,6308711.886,20.537,18,9,12207.1111111111,12353,9,13435.5555555556,14416,9,72.8888888888889,78,9,14756.8888888889,15668,9,10367.7777777778,10775
500,765041.453,6308708.115,20.593,3.5,10,9759.9,9708.5,10,14756,14796,10,44.1,47,10,21864.5,22430.5,10,19719.1,19514
501,765043.026,6308703.792,20.595,4,10,14037.6,14595,10,22957.2,23519,10,59,62,10,32827.3,35857,10,24601.1,25313.5
502,765043.058,6308698.694,20.541,6,9,12146.2222222222,12131,9,19256.3333333333,19026,9,68.3333333333333,76,9,27633.1111111111,27866,9,22568.3333333333,22412
503,765042.858,6308695.27,20.425,23,10,18045.9,17844,10,15550.2,15968.5,10,80.9,80.5,10,15765.1,15788,10,12648.8,12445
504,765038.069,6308682.057,20.526,8,9,9969.77777777778,9941,9,9505.33333333333,9340,9,44.6666666666667,43,9,9656,9472,9,7604.77777777778,7536
505,765049.157,6308671.282,20.439,17,8,11696.5,11725.5,8,9964.5,9933.5,8,49.125,51,8,9656.875,9628,8,7414.25,7354.5
506,765051.289,6308665.824,20.582,0,10,13911,14003.5,10,22112.2,22493.5,10,93.8,96.5,10,26865.6,27259,10,18608.2,18888
507,765053.873,6308666.742,20.626,0,9,8355.66666666667,8190,9,9971.88888888889,9871,9,41.6666666666667,30,9,12168.1111111111,12558,9,11667.4444444444,11542
508,765055.045,6308664.365,20.573,0,9,11998.8888888889,12119,9,18396.1111111111,19626,9,91.2222222222222,104,9,22827.3333333333,23088,9,19876.7777777778,19620
509,765055.495,6308663.652,20.562,0,9,11356.6666666667,11405,9,16762.1111111111,17159,9,81.6666666666667,84,9,20545.3333333333,20623,9,17489,17485
510,765056.831,6308662.441,20.542,0,10,7102.3,7037,10,8664.7,8624.5,10,26.3,25,10,10932.3,10861.5,10,11094,11138.5
511,765058.192,6308661.953,20.535,0,10,12166.7,11811.5,10,12710.2,12430,10,45.6,42.5,10,14404.1,13992.5,10,12431.3,12289.5
512,765055.185,6308662.192,20.526,3,10,11625.7,11407.5,10,18478.5,17544,10,59.4,61.5,10,24006.6,22877,10,19652.2,19044.5
513,765059.684,6308660.615,20.535,1,9,12499.5555555556,13122,9,23892.1111111111,24522,9,93.8888888888889,92,9,31423.6666666667,31823,9,24252.4444444444,24887
514,765058.994,6308659.726,20.542,3,12,11229.1666666667,11494.5,12,15102.75,15328,12,62.9166666666667,60,12,19314.9166666667,19863.5,12,14913.3333333333,15424.5
515,765061.623,6308658.2,20.532,3,10,10954.1,11239,10,18160,17603.5,10,60,63,10,25851.2,24488,10,18757.6,18137.5
516,765062.889,6308656.822,20.552,1,9,9741.22222222222,9881,9,11245.8888888889,10841,9,43.4444444444444,42,9,14205.7777777778,13376,9,11511.7777777778,11481
517,765066.189,6308655.146,20.567,0,9,8315,7964,9,12398.2222222222,12359,9,32.5555555555556,24,9,17829.7777777778,17565,9,16386.4444444444,16086
518,765067.461,6308653.869,20.566,0,10,8490.6,8104,10,13011.4,12152,10,43,49,10,17941.1,16767.5,10,16671.8,15950
519,765068.828,6308654.069,20.569,0,9,9621.77777777778,9462,9,14635,14437,9,57.2222222222222,56,9,20401.6666666667,19626,9,18011.6666666667,17578
520,765068.711,6308652.763,20.562,2,9,11737.4444444444,11665,9,15770.2222222222,15220,9,62.4444444444444,64,9,19860.6666666667,18344,9,16441.2222222222,16702
521,765069.397,6308652.244,20.57,0,9,9204.22222222222,8800,9,11587.3333333333,11096,9,42.5555555555556,43,9,14985.4444444444,14292,9,12975.7777777778,12350
522,765070.938,6308651.946,20.579,0,10,13450.2,13380,10,20857.2,21210.5,10,75.2,74.5,10,26951,27863,10,20828.7,21459.5
523,765072.883,6308651.828,20.563,0,10,9094.7,8788,10,12867.2,11467,10,52,45,10,16711.6,14884,10,15583.2,14729
524,765072.313,6308650.189,20.547,0,12,10863.9166666667,10673,12,16207.1666666667,15568.5,12,67.75,66,12,22345.4166666667,22274.5,12,18992.5833333333,18754.5
525,765070.139,6308650.196,20.528,3,9,10127.5555555556,9559,9,11251.2222222222,10091,9,46.2222222222222,39,9,13987.2222222222,12399,9,10663.2222222222,9768
526,765074.377,6308648.726,20.525,4,10,11543.4,11238,10,12340.3,11158.5,10,64.4,60.5,10,15172.8,13901.5,10,10671.4,9854
527,765076.377,6308647.788,20.512,1,9,9524.11111111111,8936,9,13724.2222222222,12271,9,39.2222222222222,38,9,15906.2222222222,14748,9,13379.3333333333,13037
528,765075.622,6308646.292,20.557,0,9,12796.4444444444,13166,9,17053.8888888889,16895,9,89.4444444444444,93,9,19447.7777777778,18684,9,15405,15062
529,765074.961,6308645.609,20.543,0,9,8967.44444444445,8733,9,9646.44444444445,9720,9,41.6666666666667,36,9,10795.1111111111,10497,9,9350.77777777778,9216
530,765074.876,6308644.291,20.572,0,9,8409.77777777778,8414,9,7806,7711,9,30.6666666666667,33,9,8331.88888888889,8294,9,6833,6844
531,765075.157,6308642.808,20.557,0,9,8975.22222222222,8808,9,8500.66666666667,8023,9,39.6666666666667,38,9,8770,8700,9,7155.55555555556,7034
532,765077.168,6308642.646,20.553,0,10,7969.2,7891.5,10,10546.9,10260.5,10,44.2,33,10,13127.5,13000.5,10,12488.2,12476
533,765077.835,6308643.926,20.55,0,9,13536.5555555556,13709,9,20343.3333333333,20109,9,82,89,9,29542,29474,9,25925,26064
534,765076.639,6308643.995,20.572,0,10,9542.2,9461,10,13543.7,13428,10,38,36,10,18363.1,18325,10,18643.4,18798.5
535,765075.494,6308644.413,20.598,0,10,9923.4,9943.5,10,14201.8,14309,10,71.6,79,10,16910.2,16981.5,10,12994,12919.5
536,765076.51,6308645.627,20.575,0,9,15024.2222222222,14548,9,19537.1111111111,20095,9,100.666666666667,98,9,24714.3333333333,25604,9,19531.5555555556,20133
537,765078.744,6308646.424,20.523,3,9,12714.4444444444,12641,9,12778.2222222222,12544,9,77.6666666666667,78,9,13557.3333333333,13410,9,11853.7777777778,11682
538,765079.769,6308644.693,20.554,0,10,11584.5,11631,10,16488.8,16791,10,79.8,76,10,21747.8,22430.5,10,18293.3,18455.5
539,765079.938,6308643.54,20.559,0,9,12040.1111111111,11815,9,16611.2222222222,15753,9,62.4444444444444,50,9,18800.1111111111,19666,9,14613.2222222222,15238
540,765081.651,6308643.857,20.552,0,12,13296.75,13763,12,18992.1666666667,19207,12,73.6666666666667,76,12,23665.25,23534,12,19212.1666666667,19258.5
541,765083.675,6308643.865,20.55,0,9,11321.5555555556,11527,9,19767.6666666667,19583,9,90,81,9,26246.7777777778,29104,9,20787.8888888889,21792
542,765083.305,6308644.983,20.472,9,9,12772.7777777778,12380,9,14475.5555555556,13480,9,68.4444444444444,62,9,16844.5555555556,14948,9,13658.2222222222,12618
543,765084.13,6308647.105,20.557,0,9,16439.5555555556,15929,9,22779.4444444444,22382,9,73.2222222222222,79,9,28397.4444444444,28554,9,22456.3333333333,22220
544,765092.014,6308637.728,20.544,0,12,11308.25,11016.5,12,18577.9166666667,18094,12,74.6666666666667,69,12,21981.9166666667,20027,12,18018.1666666667,17455
545,765092.069,6308636.563,20.542,3,12,10054.5833333333,9859,12,15721.9166666667,15307.5,12,54.3333333333333,46,12,23568,23855,12,19786.25,19618.5
546,765093.367,6308636.448,20.56,0,10,8401,8257,10,14732.2,14436.5,10,51,52,10,20471.6,19908,10,18988.9,18590
547,765095.015,6308635.345,20.522,1,10,9623.2,9326,10,15309.1,14884.5,10,54.6,55.5,10,19782,19778,10,17244.8,17302
548,765096.048,6308634.178,20.547,1,11,9181.18181818182,9180,11,11268.0909090909,10987,11,64.3636363636364,65,11,13876.9090909091,13788,11,12601.1818181818,12716
549,765096.743,6308632.542,20.51,2.5,9,9740.44444444445,9805,9,10921.2222222222,10948,9,55.3333333333333,56,9,12116.1111111111,12331,9,10423.2222222222,10481
550,765116.128,6308626.612,20.491,9,9,10498.5555555556,10531,9,14510.4444444444,14327,9,67.4444444444444,70,9,17546,17261,9,13691.5555555556,13399
551,765125.295,6308617.04,20.391,22,9,17283.8888888889,16947,9,18569.3333333333,18267,9,111.333333333333,109,9,20146.3333333333,19855,9,15785.8888888889,15493
552,765155.837,6308592.014,20.473,0,12,10954.0833333333,10867.5,12,16662,16899.5,12,74.1666666666667,76,12,21343.5833333333,21355,12,15835.5,15884
553,765157.012,6308591.768,20.454,0,9,13307.1111111111,13333,9,15460,15913,9,99.7777777777778,94,9,17530.3333333333,17671,9,13624.6666666667,13680
554,765158.32,6308591.888,20.427,0,9,16353.5555555556,15921,9,14944.6666666667,14810,9,87.4444444444444,92,9,15920.7777777778,15432,9,13073.1111111111,13092
555,765160.325,6308590.939,20.443,0,10,12840.1,12661.5,10,14544.2,14448,10,82.5,84.5,10,17120.8,17269,10,12528.9,12741
556,765156.99,6308589.695,20.408,1,9,10741.4444444444,10469,9,15093.1111111111,14295,9,72.8888888888889,74,9,18646.3333333333,18622,9,14521.2222222222,14616
557,765159.734,6308589.509,20.391,5.5,9,9410.44444444445,9247,9,10060.3333333333,9704,9,39.2222222222222,37,9,11016.8888888889,10717,9,9315,9011
558,765163.019,6308588.723,20.401,0,12,12755.25,12125,12,12483.8333333333,12025,12,65,60,12,14462.25,14320,12,11133.5,10851.5
559,765164.927,6308587.688,20.408,0,9,12163.7777777778,12256,9,13027.2222222222,13280,9,62.8888888888889,70,9,13912.8888888889,14395,9,11740.5555555556,11732
560,765164.855,6308586.595,20.418,0,11,11904.5454545455,11933,11,11861,11803,11,68.7272727272727,75,11,13077,13035,11,11626.4545454545,11665
561,765163.222,6308585.621,20.426,0,9,9704.77777777778,9835,9,12533.5555555556,12046,9,43.1111111111111,44,9,14000.1111111111,14565,9,12041.3333333333,11673
562,765164.254,6308584.168,20.435,0,9,9180.11111111111,8882,9,8896,9005,9,39.8888888888889,39,9,9928.77777777778,10086,9,9434.88888888889,9164
563,765165.836,6308579.829,20.382,0,9,8833.22222222222,8604,9,8855.88888888889,8897,9,36.2222222222222,34,9,9912.33333333333,9824,9,9002.66666666667,8904
564,765167.511,6308580.157,20.411,0,9,9293,9298,9,9707.22222222222,9619,9,29.7777777777778,28,9,11674.2222222222,11584,9,10266.4444444444,10113
565,765169.088,6308580.394,20.427,0,9,12502.6666666667,12156,9,14512.8888888889,14886,9,67.4444444444444,62,9,16888.7777777778,16871,9,15160.3333333333,15309
566,765170.638,6308580.38,20.433,0,10,14257.9,13649.5,10,17665.1,15572.5,10,71.6,63,10,22208.5,20251,10,18716.9,17891
567,765172.029,6308580.326,20.395,0,10,17038.3,17002.5,10,14417.9,14829.5,10,94,94.5,10,14996.5,15190.5,10,13098.1,13233
568,765171.677,6308578.756,20.411,0,12,14820.0833333333,14882.5,12,17503.6666666667,17118,12,78.6666666666667,66.5,12,21808.5,20942,12,16243.4166666667,16120.5
569,765170.64,6308576.536,20.398,0,9,13927.3333333333,13713,9,18056.8888888889,18181,9,71.5555555555556,54,9,26166.2222222222,27769,9,18901,19000
570,765168.193,6308575.322,20.399,1,9,11857.4444444444,11720,9,13533.3333333333,13133,9,70.1111111111111,63,9,14686.6666666667,14473,9,13626.4444444444,13386
571,765164.629,6308575.373,20.428,0,9,18128.3333333333,18045,9,20697.4444444444,20918,9,110.888888888889,113,9,25302,25596,9,18824.2222222222,19256
572,765162.325,6308575.494,20.46,0,10,10774.7,10931.5,10,10453.4,10533,10,61.5,62.5,10,11386.3,11414,10,9849.5,9916
573,765157.031,6308576.458,20.412,0,10,13807.1,14079,10,14349.1,14675,10,94.9,103.5,10,16270.2,16332.5,10,12683.8,12939
574,765158.275,6308577.566,20.4,0,12,12244.4166666667,12326,12,12164.0833333333,12034,12,73.5833333333333,81,12,13515,13603,12,11081.6666666667,10917.5
575,765152.471,6308578.151,20.479,0,9,12813.2222222222,13265,9,18010.1111111111,17257,9,93.5555555555556,90,9,23606.6666666667,23291,9,17695.2222222222,17756
576,765179.263,6308574.56,20.396,0,9,14559.2222222222,14136,9,17419.2222222222,16946,9,90.6666666666667,77,9,21301.3333333333,20310,9,16700.1111111111,16251
577,765179.544,6308575.648,20.402,0,10,12544.4,12654.5,10,13428.8,13225.5,10,78.6,76,10,14357.9,14508,10,11617.7,11679.5
578,765183.375,6308573.912,20.405,0,9,10431,10314,9,14677.6666666667,14737,9,53.7777777777778,52,9,19239.4444444444,19228,9,14517.3333333333,14493
579,765188.872,6308570.113,20.408,0,10,10414.4,10413,10,15232.1,14162.5,10,49.5,46.5,10,18581.7,17232.5,10,15327.5,14391.5
580,765191.926,6308571.865,20.342,4,10,10749.8,11025.5,10,10647.9,10697,10,55.1,54,10,12303.8,12178.5,10,9837.6,9958.5
581,765193.981,6308570.6,20.419,0,9,13284,13115,9,16284.7777777778,16596,9,60.8888888888889,67,9,19771.8888888889,20241,9,16110.8888888889,16789
582,765198.685,6308568.548,20.392,0,9,9876.11111111111,10261,9,10374.6666666667,9984,9,59.6666666666667,57,9,12548.2222222222,12066,9,11483.7777777778,11357
583,765204.71,6308568.772,20.382,1,9,12291.2222222222,12702,9,16173.8888888889,15380,9,66.8888888888889,67,9,19879,20368,9,14278.2222222222,14080
584,765206.015,6308568.448,20.371,1,10,16631,16637,10,24224,23387.5,10,79.5,76,10,30245.6,28969.5,10,22850.6,22511.5
585,765208.282,6308568.074,20.402,0,9,10839.1111111111,10621,9,14202.6666666667,13400,9,54.7777777777778,54,9,17730.3333333333,17056,9,14163,14270
586,765209.092,6308568.679,20.406,0,12,11622.9166666667,12162,12,14542.9166666667,15672.5,12,59.9166666666667,54.5,12,18255.4166666667,18740,12,15338.6666666667,15897.5
587,765211.372,6308568.702,20.409,0,9,11501.1111111111,11497,9,10313.5555555556,10211,9,59,59,9,12045.8888888889,11648,9,10956.6666666667,10801
588,765213.12,6308567.642,20.4,0,10,17319.6,17067.5,10,15791.9,15620,10,95,90.5,10,18142.5,17772.5,10,16535.6,16304
589,765215.681,6308567.529,20.405,0,10,15572.5,15834.5,10,17175.9,17085,10,87.6,101,10,20831.8,19936.5,10,18404.5,18398
590,765217.952,6308566.903,20.416,0,9,11086.7777777778,11251,9,11271.6666666667,11066,9,78.2222222222222,68,9,13679.4444444444,13225,9,13229.7777777778,13054
591,765218.235,6308563.505,20.4,0,10,10888.5,9917.5,10,16096.5,13629.5,10,37,30.5,10,23208.5,22855,10,17683.9,16264
592,765219.975,6308562.665,20.46,0,9,12491.1111111111,12042,9,16185.5555555556,14395,9,95.1111111111111,102,9,20521.4444444444,20211,9,19065.3333333333,18707
593,765221.61,6308563.774,20.403,0,10,19960.4,20765.5,10,26180.7,25540.5,10,151.8,156.5,10,31641,29462.5,10,29110.2,27927
594,765223.283,6308563.937,20.383,1,12,18082,17692.5,12,20750.1666666667,21917.5,12,101.666666666667,106,12,23414.0833333333,24919.5,12,18099.0833333333,18171
595,765223.14,6308562.847,20.398,0,10,14036.4,13541.5,10,15574.5,14684.5,10,97.4,104.5,10,19942,18937.5,10,18676.4,18263.5
596,765222.63,6308560.605,20.411,0,10,15832.9,15930.5,10,21801.4,20542.5,10,137.5,145.5,10,27874,27851,10,24741.1,23526.5
597,765224.916,6308558.964,20.442,0,10,11508,10482.5,10,10678.6,10293,10,59.7,52.5,10,12415.4,11807,10,12313.6,11627.5
598,765226.337,6308557.766,20.376,0,9,16708.1111111111,17196,9,22736.6666666667,23171,9,80.8888888888889,85,9,28339.4444444444,29421,9,21569.6666666667,21603
599,765227.756,6308561.495,20.418,1,9,11930.5555555556,12075,9,15466.3333333333,15679,9,84.4444444444444,74,9,19547.7777777778,18460,9,15683.7777777778,15590
600,765233.373,6308558.502,20.375,0,9,13668.6666666667,13860,9,21404.8888888889,21808,9,115.777777777778,125,9,28963.6666666667,28909,9,24300,24642
601,765231.975,6308557.241,20.414,0,12,8608.75,8305.5,12,9634.83333333333,9046,12,71.5833333333333,60.5,12,11360.6666666667,11150,12,11261,11014
602,765232.821,6308556.49,20.382,0,10,12200.2,11991.5,10,14503.8,13973,10,102.8,108,10,18115.2,17214.5,10,17230.2,16819
603,765237.177,6308554.978,20.371,0,10,12110,11854.5,10,12968.3,13150.5,10,74,74,10,16346.8,16572,10,14401.9,14276.5
604,765238.218,6308555.103,20.379,0,10,12841.1,12784.5,10,14500.7,14239.5,10,80.1,77.5,10,17807.9,17633.5,10,15591.9,15360
605,765235.909,6308547.475,20.398,0,9,9200.55555555555,9380,9,13970,14732,9,93.1111111111111,85,9,17952.8888888889,16676,9,18257.6666666667,18613
606,765233.617,6308547.048,20.383,0,12,13795.9166666667,13481,12,16922.6666666667,16649.5,12,90.6666666666667,101,12,21958.9166666667,21006.5,12,20524.9166666667,20241
607,765231.318,6308538.935,20.485,0,9,17100.7777777778,16778,9,22523.8888888889,22810,9,111.555555555556,120,9,27795.4444444444,26780,9,23800.2222222222,23475
608,765230.621,6308538.149,20.399,0,9,10476.3333333333,10525,9,18412,18009,9,42.4444444444444,36,9,22949.7777777778,23578,9,19821.5555555556,20729
609,765233.211,6308538.177,20.387,0,9,18042,17874,9,22377.2222222222,22235,9,134.222222222222,126,9,30019.6666666667,29702,9,24887.1111111111,24107
610,765242.782,6308553.617,20.224,18.5,9,26647.4444444444,27914,9,19363.8888888889,20609,9,110.888888888889,93,9,18900.3333333333,19806,9,14354,14352
611,765250.604,6308562.453,20.361,8,10,9132.6,8916,10,10567.1,10260,10,44.5,40,10,13047.8,12827,10,11677.1,11700
612,765254.215,6308567.357,20.326,10,9,8560.88888888889,7949,9,9378.11111111111,7740,9,36.3333333333333,30,9,12047.5555555556,10199,9,12725.4444444444,11643
613,765256.519,6308570.97,20.267,10,9,11917.1111111111,11589,9,16347.1111111111,14860,9,74,74,9,17768.2222222222,17502,9,14057.8888888889,13566
614,765258.653,6308577.867,20.362,12,9,12831.8888888889,12700,9,16493.4444444444,16841,9,63.5555555555556,64,9,23116.2222222222,23856,9,17040.7777777778,17338
615,765262.485,6308583.198,20.365,9,9,9986.11111111111,9246,9,11191.5555555556,11176,9,62.1111111111111,60,9,13609.8888888889,13493,9,10755.2222222222,10788
616,765281.249,6308595.682,20.416,6,9,10822.5555555556,10510,9,13659.3333333333,12904,9,36.8888888888889,28,9,16186.8888888889,15042,9,14211.2222222222,13574
617,765293.285,6308605.663,20.438,4,9,12935.8888888889,12784,9,14015.7777777778,13793,9,35.7777777777778,20,9,15897.5555555556,15262,9,13436.2222222222,13344
618,765293.401,6308609.707,20.497,1,9,16921,17466,9,22646.2222222222,23489,9,73.3333333333333,63,9,29781.4444444444,30312,9,22345.8888888889,22084
619,765292.394,6308611.802,20.471,1,11,11410.1818181818,10529,11,11553.6363636364,10177,11,73.3636363636364,58,11,15041.8181818182,13528,11,12811.9090909091,12446
620,765296.93,6308615.771,20.447,3,10,13989.7,14373.5,10,17463.2,18345,10,50.6,41,10,20105.6,19594,10,19549.3,20201.5
621,765298.708,6308618.406,20.419,4,9,11341,11417,9,16119.7777777778,16146,9,57.7777777777778,49,9,22484,23726,9,18860.3333333333,19508
622,765300.079,6308621.275,20.367,17,9,8062.44444444444,7751,9,8035.11111111111,7950,9,50.2222222222222,42,9,9317,9234,9,7389.44444444444,7457
623,765301.482,6308621.068,20.34,19,9,9826.55555555555,8784,9,9979.44444444445,9291,9,63.5555555555556,46,9,11138.2222222222,10132,9,8418,8072
624,765303.135,6308620.987,20.354,19,9,10590.6666666667,10935,9,10158.2222222222,10269,9,72.1111111111111,66,9,11135.5555555556,11205,9,7807.11111111111,7897
625,765305.342,6308620.982,20.367,18,9,11612.2222222222,11523,9,8912.77777777778,8753,9,49.7777777777778,52,9,8460.33333333333,8284,9,6203.88888888889,6155
626,765309.422,6308620.522,20.308,22,12,7859.41666666667,7788.5,12,6622.91666666667,6559.5,12,33.1666666666667,33,12,6972.5,6948,12,6151.83333333333,6106.5
627,765312.451,6308620.241,20.354,18,9,8885.11111111111,8345,9,8062.44444444444,7387,9,48.8888888888889,34,9,8806.22222222222,7986,9,6890,6635
628,765314.789,6308619.539,20.389,16,9,9328.22222222222,8498,9,9925,8827,9,51.8888888888889,26,9,9409.22222222222,8312,9,8380.66666666667,8079
629,765316.316,6308618.746,20.392,18,10,9814.3,9661.5,10,9472.5,9425,10,52.4,45.5,10,10377.7,9970.5,10,7782.4,7903
630,765317.686,6308618.047,20.39,16,12,7266.25,7037.5,12,6701.08333333333,6460.5,12,24.75,24.5,12,7342.16666666667,7148.5,12,6615.91666666667,6488.5
631,765319.919,6308616.314,20.324,20,9,8396.11111111111,8440,9,6538.88888888889,6529,9,36.7777777777778,38,9,6271.11111111111,6234,9,5372.77777777778,5345
632,765321.548,6308615.414,20.393,17,11,8471.72727272727,8551,11,8469,8525,11,40.0909090909091,33,11,9506.18181818182,9417,11,7777.54545454545,7835
633,765323.204,6308614.227,20.41,16,9,12887.7777777778,12987,9,17009.7777777778,17006,9,90.4444444444444,81,9,19028.7777777778,19212,9,12921.8888888889,12637
634,765333.687,6308607.193,20.348,18,9,7794.22222222222,7550,9,7560.55555555556,7265,9,55.4444444444444,42,9,8073.66666666667,7479,9,7062.44444444444,6662
635,765335.153,6308606.131,20.436,14,9,12514,13119,9,16926,17265,9,81,80,9,21006.2222222222,21637,9,14525.1111111111,14361
636,765336.992,6308605.01,20.38,17,9,11441.2222222222,11034,9,13436.6666666667,13200,9,56.3333333333333,44,9,15738.8888888889,15409,9,12068.8888888889,11544
