field_1,field_2,field_3,field_4,field_5,R_count,R_mean,R_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
324,765102.177,6308977.097,20.829,2,12,9645.58333333333,9333,12,12698.0833333333,12251,12,58,52,12,17390.1666666667,16628.5,12,16470.0833333333,16505.5
325,765101.466,6308975.595,20.823,3,12,7356,7009,12,11135.5,10653,12,26.0833333333333,20.5,12,16890.25,15751,12,16798.5833333333,16332
326,765103.697,6308973.244,20.924,1,10,10285.3,10198.5,10,15181.6,15081,10,53,49,10,23606.8,23392,10,20627.9,21317.5
327,765102.799,6308970.643,20.816,5,10,14419.4,12736.5,10,23037.2,20149.5,10,53.9,47.5,10,29490.4,30149,10,22966.4,23160.5
328,765094.058,6308966.488,20.849,5,9,12470.2222222222,12910,9,15319.2222222222,15275,9,83.4444444444444,94,9,22564,22447,9,15964.2222222222,15925
329,765089.431,6308963.213,20.857,2,12,9199.75,9224.5,12,7939.58333333333,7724.5,12,46.9166666666667,43,12,8364.33333333333,8023.5,12,6587.5,6429.5
330,765089.619,6308961.922,20.861,1,9,9166.44444444445,9128,9,10782.5555555556,10364,9,56,60,9,12608.6666666667,12629,9,9698,9963
331,765089.526,6308960.138,20.825,4,9,12826.6666666667,12232,9,11381.2222222222,10707,9,52.7777777777778,47,9,13557,12841,9,9716.11111111111,9383
332,765090.078,6308958.919,20.832,3.5,9,10483.7777777778,10704,9,13533.6666666667,13740,9,52.5555555555556,40,9,20958.5555555556,21359,9,15605,15933
333,765090.245,6308954.482,20.803,3.5,10,11442.8,12016,10,17560,18446.5,10,71.9,76,10,26143.1,26820.5,10,20760.4,21298.5
334,765091.936,6308952.556,20.801,5,9,10406.2222222222,10773,9,14594.1111111111,15287,9,73.1111111111111,68,9,19431.8888888889,21110,9,15790.2222222222,16877
335,765085.484,6308950.566,20.728,9,9,21266.3333333333,19784,9,16891.6666666667,16229,9,91.3333333333333,79,9,19680.8888888889,19471,9,13989.3333333333,13566
336,765085.282,6308945.081,20.875,0,10,7081.4,7156,10,6350.4,6453.5,10,36.1,36,10,6873.3,6916,10,6179,6172.5
337,765086.152,6308943.419,20.86,0,9,10240.3333333333,9925,9,9203.44444444445,9397,9,59.1111111111111,58,9,9673.55555555555,9445,9,8429.77777777778,8585
338,765087.713,6308940.839,20.808,0,10,14325.7,13880,10,21192.3,20608.5,10,80.1,74.5,10,29808.3,29093,10,23249.3,22983
339,765080.509,6308943.221,20.832,4,9,12196.2222222222,12709,9,17686.8888888889,17238,9,50,39,9,26878.4444444444,25426,9,20829.3333333333,20496
340,765078.59,6308940.514,20.812,8.5,10,12350.6,12525.5,10,17717,17830.5,10,83.3,78,10,22876.9,24439.5,10,20193,20486.5
341,765072.86,6308937.028,20.807,10,9,9850.88888888889,9144,9,14233.5555555556,13213,9,55.8888888888889,55,9,17123.7777777778,15038,9,15907.2222222222,15239
342,765065.901,6308934.679,20.84,8,9,10692.2222222222,10524,9,13351.6666666667,12990,9,68.2222222222222,70,9,15166.3333333333,13560,9,13271.5555555556,13692
343,765057.744,6308927.584,20.817,8,12,15888.9166666667,15655,12,21244.8333333333,21669,12,94.1666666666667,91,12,27898.4166666667,27881,12,22029.75,22380.5
344,765048.825,6308922.145,20.809,8,10,12911.5,11646,10,18456.2,17507,10,62.6,59.5,10,26529.5,26432,10,18898.7,19106
345,765041.108,6308916.636,20.883,2,10,11071.9,11337.5,10,13587.4,14281,10,64.1,61,10,16594.3,16686.5,10,13464.5,13542
346,765041.146,6308915.652,20.875,3,9,11973.8888888889,12031,9,15423.7777777778,15478,9,65.1111111111111,65,9,21692.5555555556,20605,9,17664.1111111111,17419
347,765041.675,6308914.053,20.876,5,10,9732.3,9573.5,10,12486.5,12041.5,10,46.9,48,10,17497.4,16106,10,14979.5,14627
