field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
"538","765079.769","6308644.693","20.554","0","10","79.8","76","30.1390112644725","37","138","10","16488.8","16791","1447.18041722516","13644","18612","10","11584.5","11631","1208.53458783768","9536","13890","10","21747.8","22430.5","2613.22822577746","16912","25947","10","18293.3","18455.5","1684.25028128245","15482","21653"
"539","765079.938","6308643.54","20.559","0","9","62.4444444444444","50","24.7884879692665","38","112","9","16611.2222222222","15753","3213.87833475651","11758","21943","9","12040.1111111111","11815","1230.75807212415","10405","14709","9","18800.1111111111","19666","4597.08657604513","12727","27846","9","14613.2222222222","15238","2259.32058508146","11668","19146"
"540","765081.651","6308643.857","20.552","0","12","73.6666666666667","76","25.1075464529868","29","109","12","18992.1666666667","19207","1116.13916645232","17149","20862","12","13296.75","13763","1106.45922691861","11391","15014","12","23665.25","23534","1435.01917089401","21145","25725","12","19212.1666666667","19258.5","779.553807564872","17849","20380"
"541","765083.675","6308643.865","20.55","0","9","90","81","33.0588700485798","51","137","9","19767.6666666667","19583","2362.21205182299","14733","22614","9","11321.5555555556","11527","1681.18596440536","8280","13674","9","26246.7777777778","29104","4149.09539746725","17717","30467","9","20787.8888888889","21792","2202.22753110695","15925","23466"
"542","765083.305","6308644.983","20.472","9","9","68.4444444444444","62","27.0107431758843","40","121","9","14475.5555555556","13480","2553.50208803131","11881","20161","9","12772.7777777778","12380","1397.12576207789","10497","15603","9","16844.5555555556","14948","3393.48326817122","13531","24157","9","13658.2222222222","12618","1658.94302211296","12097","17364"
"543","765084.13","6308647.105","20.557","0","9","73.2222222222222","79","14.8606697753782","43","94","9","22779.4444444444","22382","1099.34365379339","20849","24363","9","16439.5555555556","15929","1734.32344228784","14513","19335","9","28397.4444444444","28554","1966.40173984594","24584","31787","9","22456.3333333333","22220","1100.76024233759","20548","24425"
"544","765092.014","6308637.728","20.544","0","12","74.6666666666667","69","29.4118267973201","21","117","12","18577.9166666667","18094","3553.31707606506","12200","23718","12","11308.25","11016.5","1684.09328349115","8812","14333","12","21981.9166666667","20027","4733.53506832426","14237","30334","12","18018.1666666667","17455","2471.21909298944","13956","22567"
"545","765092.069","6308636.563","20.542","3","12","54.3333333333333","46","22.1296683712663","30","104","12","15721.9166666667","15307.5","1959.01690729191","12317","18999","12","10054.5833333333","9859","1346.49745997615","8339","12777","12","23568","23855","4524.12947427458","16657","32710","12","19786.25","19618.5","2710.26988585393","14708","24818"
"546","765093.367","6308636.448","20.56","0","10","51","52","18.9050257868113","25","85","10","14732.2","14436.5","1507.61227110952","12648","17135","10","8401","8257","594.55865984779","7728","9683","10","20471.6","19908","2219.7611673331","16642","23883","10","18988.9","18590","1527.57411931467","16636","21461"
"547","765095.015","6308635.345","20.522","1","10","54.6","55.5","14.2140775289851","33","88","10","15309.1","14884.5","1635.41031242927","13784","19556","10","9623.2","9326","841.137658174927","8503","11074","10","19782","19778","2027.21335828274","17117","24010","10","17244.8","17302","1145.47726297819","15866","20044"
"548","765096.048","6308634.178","20.547","1","11","64.3636363636364","65","16.4221177201122","46","102","11","11268.0909090909","10987","1076.94487531294","9479","13818","11","9181.18181818182","9180","784.042997218649","7888","10969","11","13876.9090909091","13788","1347.81388346567","11177","16162","11","12601.1818181818","12716","827.341505632438","10928","14230"
"549","765096.743","6308632.542","20.51","2.5","9","55.3333333333333","56","10.5934990547138","39","69","9","10921.2222222222","10948","664.774444250375","9767","11973","9","9740.44444444445","9805","427.99327905188","8947","10361","9","12116.1111111111","12331","1136.45398249159","10205","14003","9","10423.2222222222","10481","477.228987146464","9565","11148"
"550","765116.128","6308626.612","20.491","9","9","67.4444444444444","70","16.1803111569525","49","91","9","14510.4444444444","14327","799.268430936289","13704","15885","9","10498.5555555556","10531","866.802952247332","9074","11856","9","17546","17261","1170.76186021468","15653","19687","9","13691.5555555556","13399","615.619130291","12878","14918"
"551","765125.295","6308617.04","20.391","22","9","111.333333333333","109","7.48331477354788","102","125","9","18569.3333333333","18267","2087.43532168597","15998","23054","9","17283.8888888889","16947","883.756306838341","16186","19155","9","20146.3333333333","19855","2190.24158992158","17465","24222","9","15785.8888888889","15493","1047.61967700799","14717","17761"
